reconstructed_sentence,sentence_original,pattern,matrix_language,group_code,group,participant_id,filler_count,has_fillers
係 呀 唔同 㗎,"係呀, 唔同㗎.",C4,Cantonese,H,Homeland,ACH2004,0,False
我 通常 我哋 都 係 嘅 但係 我哋 會 一條龍 咁 上 囉,我通常 — 我哋都係嘅但係我哋會一條龍咁上囉.,C13,Cantonese,H,Homeland,ACH2004,0,False
即係 其實 啲 同學 都 係 一樣 嘅 但係 個名 就 唔同 咁 樣,"即係其實啲同學都係一樣嘅, 但係個名就唔同咁樣.",C14,Cantonese,H,Homeland,ACH2004,0,False
無 呀 一個 月 囉 一兩個 月 都 唔 計 囉 即係 嗰啲 summer holiday 嗰啲,"無呀:: 一個月囉, 一兩個月都唔計囉, 即係嗰啲 summer holiday 嗰啲.",C13-E2-C1,Cantonese,H,Homeland,ACH2004,1,True
Uh 西班牙 咁 樣 囉 係 嘞,"Uh 西班牙咁樣囉, 係嘞.",E1-C6,Cantonese,H,Homeland,ACH2004,1,True
媽媽 係 基督徒,媽媽係:: 基督徒.,C3,Cantonese,H,Homeland,ACH2004,0,False
即係 但 唔係 話 好 虔誠 嗰啲 囉 即係 有時 返 吓 教會 啊 聚會 吓 咁 樣 囉,"即係, 但唔係話好虔誠嗰啲囉, 即係有時返吓教會啊聚會吓咁樣囉.",C19,Cantonese,H,Homeland,ACH2004,1,True
係 嘞,係嘞.,C2,Cantonese,H,Homeland,ACH2004,0,False
我 無,我無.,C2,Cantonese,H,Homeland,ACH2004,0,False
Uh 細個 嗰時 有囉 同 我 妹 有囉 但係 大大 吓 我 諗 小學 即係 八 七 八九 歲 又 即係 無 返 啊 咁 樣 咪 算 啊 咁 樣 囉,"Uh:: 細個嗰時有囉, 同我妹有囉, 但係大大吓我諗... 小學即係 —八七 — 八九歲又 — 即係無返啊:: 咁樣咪算啊咁樣囉.",E1-C31,Cantonese,H,Homeland,ACH2004,3,True
唔 算,唔算.,C2,Cantonese,H,Homeland,ACH2004,1,True
香港人 囉 係 喇,香港人囉. 係喇.,C4,Cantonese,H,Homeland,ACH2004,0,False
香港人 但係 唔係 local 嘅 香港人 即係 無 typical local 囉 因為 international school 嘅 raising,"香港人但係.. 唔係 lo::cal 嘅香港人, 即係無 typical local 囉, 因為:: international school 嘅 raising.",C3-E1-C4-E2-C2-E2-C1-E1,Cantonese,H,Homeland,ACH2004,0,False
即係 身分 就 似 香港人 但係 culturally 就 可能 似 返 啲 ABC 多 啲 囉 因為 即係 即係 睇 啲 media 全部 都 係 外國 啊 咁 樣 跟住 教育 又 係 英文 啊 跟住 啲 朋友 又 係 講 英文 啊 咁 樣 所以 就 會 外國 化 多 啲 囉 但係 有無 比起 一個,"即係身分就似香港人但係 culturally 就可能似::返啲 ABC 多啲囉, 因為::.. 即係... 即係睇啲 media 全部都係外國啊:: 咁樣, 跟住教育又係英文啊:: 跟住啲朋友又係講英文啊:: 咁樣所以就(會)... 外國化多啲囉. ",C6-E1-C5-E1-C8-E1-C35,Cantonese,H,Homeland,ACH2004,3,True
但係 有無 比起 一個 ABC 咁 ABC 囉,但係有無比起一個 ABC 咁 ABC 囉.,C4-E1-C1-E1-C1,Cantonese,H,Homeland,ACH2004,0,False
即係 係 喇,"即係, 係喇.",C3,Cantonese,H,Homeland,ACH2004,0,False
其實 我 hmm,"其實, (我X) — hmm::",C2-E1,Cantonese,H,Homeland,ACH2004,1,True
我 諗 最 接近 都 係,我諗最接近都係::,C6,Cantonese,H,Homeland,ACH2004,0,False
都 係 im 都 係 通常 嗰啲 外國 born 嘅 Chinese 囉 無 話 特別 邊個 國家 嘅 加拿大 啊 美國 英國 澳洲 囉 呢啲 English speaking country 咁 樣,"都係im — 都係通常嗰啲:: 外國 born 嘅 Chinese 囉, 無話特別邊個國家嘅, 加拿大啊美國英國澳洲囉, (呢啲)... English speaking country 咁樣.",C2-E1-C5-E1-C1-E1-C14-E3-C2,Cantonese,H,Homeland,ACH2004,1,True
係 喇,係喇.,C2,Cantonese,H,Homeland,ACH2004,0,False
係 喇,係喇.,C2,Cantonese,H,Homeland,ACH2004,0,False
但係 即係 可能 又 有啲 嘢 喺 美國 佢哋 又 好 specific to 美國 我 又 未必 知 嘅 係 喇,"但係即係可能又有啲嘢喺美國佢哋又好 specific to 美國, 我又未必知嘅:: 係喇.",C11-E2-C8,Cantonese,H,Homeland,ACH2004,0,False
咁 樣 囉,咁樣囉.,C3,Cantonese,H,Homeland,ACH2004,0,False
Uh 中學 同學 啦,Uh:: 中學同學啦.,E1-C3,Cantonese,H,Homeland,ACH2004,1,True
Uh 好多 都 係 呀 哦 哦,"Uh:: 好多都係呀. 哦, (X), 哦.",E1-C6,Cantonese,H,Homeland,ACH2004,3,True
Uh 大部分 都 係 中國人,Uh:: 大部分都係中國人.,E1-C4,Cantonese,H,Homeland,ACH2004,1,True
係 喇,係喇. ,C2,Cantonese,H,Homeland,ACH2004,0,False
大部分 中國,大部分中國.,C2,Cantonese,H,Homeland,ACH2004,0,False
係 喇 係 喇 始終 係 囉 香港 囉,係喇係喇始終係囉香港囉.,C9,Cantonese,H,Homeland,ACH2004,0,False
係 喇 係 喇,係喇係喇.,C4,Cantonese,H,Homeland,ACH2004,0,False
大部分 人中 國 係 啦,大部分人中國.,C5,Cantonese,H,Homeland,ACH2004,0,False
大部分 人中 國 係 啦,係啦.,C5,Cantonese,H,Homeland,ACH2004,0,False
有 幾 個 外國人 囉 係 喇 但係 大部分 中國,有.. 幾個:: 外國人囉:: 係喇.,C10,Cantonese,H,Homeland,ACH2004,0,False
係 喇 但係 大部分 中國,但係大部分中國.,C5,Cantonese,H,Homeland,ACH2004,0,False
中國 即係 外 香港人 囉 係 喇,"(X)中國. 即係(外) — 香港人囉, 係喇.",C7,Cantonese,H,Homeland,ACH2004,0,False
Uh 香港人 呀 我 覺得 Mm,Uh:: 香港人呀... 我覺得.. Mm::,E1-C4-E1,Cantonese,H,Homeland,ACH2004,2,True
熟習 佢 嘅 文化 囉 係 嘞 即係 可能 香港 都 係 有 佢 嘅 特別 嗰種 文化 嗰種 諗嘢 嘅 方法 囉 係 嘞,"熟習佢嘅文化囉:: 係嘞 即係可能... 香港都係有佢嘅特別嗰種文化, ... 嗰種諗嘢嘅方法囉, 係嘞.",C25,Cantonese,H,Homeland,ACH2004,0,False
例子 呀 Eh,例子呀... Eh::,C2-E1,Cantonese,H,Homeland,ACH2004,1,True
即係 香港人 比較 樸素 嘅 即係 佢 又 譬如 佢哋 點講 呢 我 諗 吓 啲 例子 先 Mm,"即係香港人比較樸素嘅, 即係佢又 — 譬如佢哋:: 點講呢, 我諗吓啲例子先. Mm::",C18-E1,Cantonese,H,Homeland,ACH2004,1,True
香港 覺得 香港人 比較 即係 realistic 嘅 即係 focus on 啲 譬如,"香港... (覺得)香港人比較即係 realistic 嘅, 即係 focus on 啲:: 譬如::",C5-E1-C2-E2-C2,Cantonese,H,Homeland,ACH2004,0,False
譬如 啲 嘢 儲錢 咁 樣 佢哋 會 諗 將來 啦 係 啦 即係 比較 rational 啲 係 啦 vers 外國 就 可能 eh 會 可能 諗 依家 think about the live in the present 多過 planning for the future 啦 咁 呢個 係 一個 香港 一個 係 喇 或者 Chinese culture 一種 即係 諗法 啦,"譬如啲嘢 — 儲錢咁樣佢哋會諗將來啦:: 係啦, (XXXXX)即係比較 rational 啲, 係啦, vers 外國就可能... eh::.. 會:: 可能諗依家 think about the — live in the present 多過 planning for the future 啦, 咁呢個係一個香港一個 — 係喇, 或者 Chinese culture一種:: 即係, 諗法啦.",C15-E1-C3-E1-C3-E1-C4-E7-C1-E4-C10-E2-C4,Cantonese,H,Homeland,ACH2004,1,True
係 喇 佢哋 會 比較 注重 家庭 啦 都 香港 係 喇,"係喇.. 佢哋會:: 比較注重家庭啦, 都, 香港, 係喇.",C12,Cantonese,H,Homeland,ACH2004,0,False
但係 呢啲 都 好 Chinese 嘅 specific to 香港 呢 香港人 鍾意 搵錢 囉 係 喇 咁 樣 囉,"但係呢啲都好 Chinese 嘅, specific to 香港呢, ... 香港人鍾意搵錢囉:: 係喇, 咁樣囉.",C4-E1-C1-E2-C11,Cantonese,H,Homeland,ACH2004,0,False
係 嘞 香港 Okay,XX.. 係嘞. 香港. Okay.,C3-E1,Cantonese,H,Homeland,ACH2004,0,False
Mm 我 覺得 香港 好 特別 就係 廣東話 囉 即係 要 廣東話 要 講得 即係 明白 個 語言 囉,"Mm... (我)覺得香港好特別就係廣東話囉, 即係要:: 廣東話要講得 — 即係明白個語言囉.",E1-C18,Cantonese,H,Homeland,ACH2004,1,True
即係 好 佢 好多 嘢 都 係 好 好 subtle 㗎 嘛 即係 啲 成語 啊 或者 啲 句子 啊 都,"即係好:: — .. 佢好多嘢都係好:: 好 subtle 㗎嘛, 即係啲:: 成語啊或者啲句子啊都 —",C9-E1-C11,Cantonese,H,Homeland,ACH2004,2,True
係 嘞 呢 樣嘢 會 separate 香港 囉 同埋 而家 啲 近排 啦 即係 politically 啲 香港 即係 個 identity 呢 都 好 strong 啦,"係嘞, 呢樣嘢會 separate 香港囉,  同埋而家啲近排啦:: 即係 politically 啲香港:: 即係個 identity 呢, 都好 strong 啦.",C5-E1-C8-E1-C4-E1-C3-E1-C1,Cantonese,H,Homeland,ACH2004,0,False
係 嘞 仲有 就,係嘞. 仲有就...,C4,Cantonese,H,Homeland,ACH2004,0,False
Understand 即係 struggles of 香港人 as well 囉 即係 我哋 啲 譬如 買樓 啊 好 辛苦 啊 儲 唔 到 錢 啊 咁 樣 或者 同 阿媽 住 呀 咁 樣 呢啲 struggles 佢哋 會 明白 囉 唔 鍾意 政府 啦 係 嘞,"Understand 即係 struggles of 香港人 as well 囉, 即係我哋啲 — 譬如買樓啊好辛苦啊儲唔到錢啊 咁樣或者(XX)同阿媽住呀:: 咁樣呢啲, struggles 佢哋會明白囉, 唔鍾意政府啦:: 係嘞.",E1-C1-E2-C1-E2-C25-E1-C10,Cantonese,H,Homeland,ACH2004,5,True
Uh 香港 好 潮 濕 啦 即係 我 覺得 香港人 其實 比較 鍾意 complain 㗎 但係 所以 就 obviously 有 好多 好嘢 啦 但係 就 係 嘞 係 啦,"Uh:: 香港好潮濕啦:: 即係我覺得香港人其實比較鍾意 complain 㗎, 但係所以就, obviously 有好多好嘢啦但係就 — 係嘞, 係啦.",E1-C12-E1-C4-E1-C10,Cantonese,H,Homeland,ACH2004,1,True
These are the things that bond Hong Kong people together,These are the things that bond Hong Kong people together?,E10,English,H,Homeland,ACH2004,0,False
即係 好 熱 啊 係 嘞,即係好熱啊. 係嘞.,C6,Cantonese,H,Homeland,ACH2004,1,True
真 中國人 我 覺得 eh 好 嘅 方面 來講 呢 即係 啲 好 eh 啲 values 啦 譬如 嗰啲 咩 忠孝 仁義 即係 孔子 留低 嗰啲 eh 要 愛錫 屋企人 啊 要 尊重 乜乜乜 啊 係 嘞 嗰啲 啦,"真中國人, (我)覺得, eh:: 好嘅方面來講呢 即係:: 啲好:: eh, 啲 values 啦, 譬如嗰啲咩 忠孝仁義, 即係孔子留低嗰啲 eh 要:: 愛錫屋企人啊:: 要尊重.. 乜乜乜啊:: 係嘞, 嗰啲啦.",C4-E1-C8-E1-C1-E1-C10-E1-C12,Cantonese,H,Homeland,ACH2004,5,True
Eh 讀 嗰啲 好 嘅 qualities 啦 就 eh 比較 humble 啦 eh 無 即係 驕傲 啊 無 即係 eh show off 啊,"Eh:: 讀(X) — 嗰啲, 好嘅 qualities 啦, 就:: eh:: 比較 humble 啦, eh 無即係驕傲啊:: 無即係, eh, show off 啊::",E1-C4-E1-C2-E1-C1-E1-C1-E1-C6-E3-C1,Cantonese,H,Homeland,ACH2004,6,True
Uh treat others how they would treat you,Uh treat others how they would treat you?,E8,English,H,Homeland,ACH2004,1,True
You know 即係 呢啲 好 considerate 囉 我 覺得 中 即係 中國 嗰個,"You know, 即係呢啲, 好 considerate 囉, 我覺得中:: — 即係中國嗰個...",E2-C3-E1-C7,Cantonese,H,Homeland,ACH2004,0,False
That's how they raise you to be,That's how they raise you to be?,E7,English,H,Homeland,ACH2004,0,False
係 嘞 即係 你 要 其他人 即係 人哋 入 嚟 又要 問 吓 佢 即係 飲 唔 飲嘢 啊 即係 係 嘞,"係嘞, 即係你要.. (XX)其他人, 即係人哋入嚟又要問吓佢:: 即係飲唔飲嘢啊?, 即係.. 係嘞.",C22,Cantonese,H,Homeland,ACH2004,2,True
要 去 諗 對方 嗰個 perspective 啦,要去諗對方嗰個 perspective 啦. ,C5-E1-C1,Cantonese,H,Homeland,ACH2004,0,False
Eh 要 禮尚往來 啦 要 即係 呢啲 好多 customs 啦 注重 festivals 啦 eh,"Eh:: 要禮尚往來啦:: 要:: 即係呢啲好多 customs 啦, (注重) festivals 啦, eh:: ...",E1-C7-E1-C2-E1-C1-E1,Cantonese,H,Homeland,ACH2004,2,True
咁 中 係 囉 咁 politically 我 又 覺得 你 唔 需要 好 nationalistic 先可以 做 中國人 嘅 係 囉 係 嘞,"咁:: 中:: ... 係囉... 咁:: politically 我又覺得.. 你唔需要好 nationalistic 先可以做中國人嘅:: ... 係囉, 係嘞. ",C5-E1-C7-E1-C8,Cantonese,H,Homeland,ACH2004,1,True
我 諗 都 係 通常 對 我 嚟講 淨係 講 culture 囉 即係 你 有無 嗰個 嗰啲 觀念 啊 同埋 啲 behavior 囉 係 嘞,"我諗都係通常對我嚟講淨係講 culture 囉, 即係你有無, 嗰個:: 嗰啲觀念啊, 同埋啲 behavior 囉, 係嘞. ",C10-E1-C10-E1-C3,Cantonese,H,Homeland,ACH2004,1,True
American oh um a true American,American — oh.. um:: .. a true American?,E6,English,H,Homeland,ACH2004,1,True
Like in my head this is like the media that I receive perceive Americans are like,"Like, in my head, this is like (the media that I receive — perceive?) Americans are like (XXX)",E16,English,H,Homeland,ACH2004,0,False
I feel like it's an extreme,I feel like it's an extreme?,E6,English,H,Homeland,ACH2004,0,False
Like I don't I don't know if it's called the Midwest but in like the more Republican states they're very conservative anti abortion like those people,"Like,... I don't, I don't (know) if it's called the Midwest but in like the more Republican states they're very conservative,... anti abortion,... like.. those people? ",E26,English,H,Homeland,ACH2004,0,False
Like obviously not everyone,"Like, obviously not everyone?",E4,English,H,Homeland,ACH2004,0,False
But the more religious Bible belt kind of like crowd,"But the more religious Bible belt kind of like, crowd?",E10,English,H,Homeland,ACH2004,0,False
Gospel singing you know yeah,"Gospel singing, you know, yeah?",E5,English,H,Homeland,ACH2004,0,False
So stereotype but on the coast you have like the West Coast which are the really tech people very progressive very LGBTQ friendly very like into coffee culture you know the millennial like lifestyle,"So stereotype,.. but on the coast you have like the West Coast which are the really tech... people, very progressive, very LGBTQ friendly, very like into coffee culture.. you know the millennial like lifestyle. ",E34,English,H,Homeland,ACH2004,0,False
Also really high stress though cause of the hours they work they work in like Amazon blah blah blah they're all like part time Youtubers not all but part time Youtubers innovative,"Also really high stress though, 'cause of the hours they work, they work in like Amazon, blah blah blah.. they're all like part time Youtubers — not all, but part time Youtubers, innovative.",E32,English,H,Homeland,ACH2004,0,False
I think so,I think so.,E3,English,H,Homeland,ACH2004,0,False
American born Chinese American Chinese,American born Chinese? American Chinese?,E5,English,H,Homeland,ACH2004,0,False
Yeah ABC,Yeah. ABC.,E2,English,H,Homeland,ACH2004,0,False
Uh I guess both American and Chinese,Uh::.. I guess both American and Chinese?,E7,English,H,Homeland,ACH2004,1,True
Just both,Just both.,E2,English,H,Homeland,ACH2004,0,False
Oh oh American and,"Oh oh, American and:: ...",E4,English,H,Homeland,ACH2004,0,False
I think like most people would say American Chinese first And then if you really get to know them then I will ask them oh which part of China are you from,"I think like, most people would say American Chinese first?",E32,English,H,Homeland,ACH2004,0,False
I think like most people would say American Chinese first And then if you really get to know them then I will ask them oh which part of China are you from,"And then, if you really get to know them?... then I will ask them, oh, which part of China are you from?",E32,English,H,Homeland,ACH2004,0,False
And then they might be like okay American Hong Kong then that's like it's like a more specific Like a subset Chinese Yeah,"And then, .. they might be like okay, American Hong Kong then, that's like, it's like a more specific. Like a.. subset.. Chinese? ... Yeah.",E23,English,H,Homeland,ACH2004,0,False
Uh Mandarin as well,Uh:: Mandarin as well?,E4,English,H,Homeland,ACH2004,1,True
Uh also bit of Spanish and French,Uh:: also... bit of Spanish and French.,E7,English,H,Homeland,ACH2004,1,True
Uh 啲 A few words doesn't count I think,"Uh, (啲X) — A few words doesn't count, I think.",E1-C1-E7,English,H,Homeland,ACH2004,1,True
Few words,Few words?,E2,English,H,Homeland,ACH2004,0,False
Uh 潮州話 Like the dialect Yeah,Uh:: 潮州話? Like the dialect? Yeah.,E1-C1-E4,English,H,Homeland,ACH2004,1,True
Uh so at home it's it's mostly a mixture of English and Cantonese,Uh:: so at home it's — it's mostly a mixture of English and Cantonese.,E13,English,H,Homeland,ACH2004,1,True
Everywhere apart from work,"Everywhere,... apart from work. ",E4,English,H,Homeland,ACH2004,0,False
Work is you try to stick uh with Cantonese because the patient might not understand English,"Work is — you try to stick, uh:: with Cantonese, because the patient might not understand English?",E16,English,H,Homeland,ACH2004,1,True
Uh unless they don't understand it,"Uh, unless they don't understand it.",E6,English,H,Homeland,ACH2004,1,True
Uh Cantonese,Uh:: Cantonese.,E2,English,H,Homeland,ACH2004,1,True
And English,And English.,E2,English,H,Homeland,ACH2004,0,False
Oh you mean like everything Like not just towards us,"Oh, you mean like everything?",E10,English,H,Homeland,ACH2004,0,False
Oh you mean like everything Like not just towards us Oh um same like Cantonese English Mandarin,Like not just towards us?,E17,English,H,Homeland,ACH2004,1,True
Like not just towards us Oh um same like Cantonese English Mandarin,"Oh, um, same, like Cantonese, English, Mandarin?",E12,English,H,Homeland,ACH2004,1,True
And my mom speaks 潮州話 as well,And my mom speaks 潮州話 as well.,E4-C1-E2,English,H,Homeland,ACH2004,0,False
Because like on my mom's side of the family Cause uh they a lot of them don't speak English so if my children didn't speak Cantonese then they would lose that connection with them cause you know language barrier,"Because like, on my mom's side of the family? 'Cause, uh, they — a lot of them don't speak English, so if my children didn't speak Cantonese, then, they would lose that connection, with them, 'cause, you know language barrier?",E39,English,H,Homeland,ACH2004,1,True
Yeah so it is important,Yeah so it is important.,E5,English,H,Homeland,ACH2004,0,False
Realistically I don't know how yeah,"Realistically I don't know how,... yeah.",E6,English,H,Homeland,ACH2004,0,False
How easy it would be to teach them cause I'm also like not completely fluent,"How easy it would be to teach them, cause I'm also like, not completely fluent?",E15,English,H,Homeland,ACH2004,0,False
So it's like I have half and then they're going to be like half of me so might be a little bit limited but we'll see,"So it's like, I have half and then they're going to be like half of me so, ... might be a little bit limited, but we'll see.",E26,English,H,Homeland,ACH2004,0,False
係 喇,(係喇.),C2,Cantonese,H,Homeland,ACH2004,0,False
I guess it depends on where I am,I guess it depends on where I am?,E8,English,H,Homeland,ACH2004,0,False
If I'm in Hong Kong then I'm not too surprised cause it's pretty much everywhere,"If I'm in Hong Kong, then I'm not too surprised, cause it's pretty much everywhere.",E15,English,H,Homeland,ACH2004,0,False
If I'm abroad I'll be like woah they probably speak Cantonese and I'll be like quite interested,"If I'm abroad, I'll be like woah:: they probably speak Cantonese and I'll be like quite interested?",E17,English,H,Homeland,ACH2004,0,False
Like I'll be interested and be like oh I wonder where he's from,Like I'll be interested and be like oh:: I wonder where he's from. ,E13,English,H,Homeland,ACH2004,0,False
Or she's from yeah,Or she's from yeah.,E4,English,H,Homeland,ACH2004,0,False
Mm yep,Mm:: yep.,E2,English,H,Homeland,ACH2004,1,True
Um I think cause international school,Um:: I think cause.. international school?,E6,English,H,Homeland,ACH2004,1,True
Uh so I'm not like I got the kind of like an American accent but like uh so they ask me where I'm from that sort of Yeah,"Uh so I'm not like, I got the kind of like an American accent, but... like, uh:: so they ask me where I'm from that sort of... Yeah.",E28,English,H,Homeland,ACH2004,2,True
Or even at home,Or even at home.,E4,English,H,Homeland,ACH2004,0,False
Uh online friends Like online people cause they obviously haven't seen me yet like just voice chats like on Discord,"Uh:: online friends? Like online people 'cause they obviously haven't seen me yet like just, voice chats, (like) on Discord?",E20,English,H,Homeland,ACH2004,1,True
Wait this is on my English right,Wait this is on my English right?.,E7,English,H,Homeland,ACH2004,0,False
Um also,Um:: also —,E2,English,H,Homeland,ACH2004,1,True
I'll try not to,I'll try not to (X),E4,English,H,Homeland,ACH2004,0,False
Um and also in real life people ask me oh have you been abroad,"Um:: and also:: in:: real life, people ask me oh have you been abroad?",E14,English,H,Homeland,ACH2004,1,True
Just Yeah,(Just) — Yeah.,E2,English,H,Homeland,ACH2004,0,False
Usually that,Usually that.,E2,English,H,Homeland,ACH2004,0,False
Um like accent Or like,Um:: like accent? Or like —,E5,English,H,Homeland,ACH2004,1,True
Okay Spelling I think like writing is English like British English cause,"Okay. Spelling, I think like writing is English? like, British English 'cause —",E12,English,H,Homeland,ACH2004,0,False
But international school is like an English foundation so all my teachers were British so spell color with U R that sort of thing,"But international school is like an English foundation, so all my teachers were British, so spell color with U-R that sort of thing.",E24,English,H,Homeland,ACH2004,0,False
And then accent is more American,And then accent is more American?,E6,English,H,Homeland,ACH2004,0,False
I got you back,I got you back?.,E4,English,H,Homeland,ACH2004,0,False
No it's good,No it's good.,E3,English,H,Homeland,ACH2004,0,False
Um accent I I think is I think it depends on who's listening cause I think American tell me I sound more British but then British and Australians tell me I sound more American,"Um accent, I:: I think is, I think it depends on, who's listening, cause I think American tell me I sound more British, but then British and Australians tell me I sound more American?",E34,English,H,Homeland,ACH2004,1,True
So it's a bit of a mixture but tending towards the more American side,So it's a bit of a mixture but tending towards the more American side?,E14,English,H,Homeland,ACH2004,0,False
Probably too much Youtube,Probably too much Youtube.,E4,English,H,Homeland,ACH2004,0,False
Youtube Netflix yeah I think so,"Youtube, Netflix, yeah I think so.",E6,English,H,Homeland,ACH2004,0,False
Yeah I don't know why but we all speak like this at school so not sure,"Yeah I don't know why, but we all speak like this at school so, not sure.",E16,English,H,Homeland,ACH2004,0,False
They speak like this,They speak like this.,E4,English,H,Homeland,ACH2004,0,False
Yeah yeah yeah yeah like me yeah,Yeah yeah yeah yeah like me yeah,E7,English,H,Homeland,ACH2004,0,False
Um and in terms of choice of vocabulary I just choose whatever like is easier to say,"Um:: and in terms of choice of vocabulary.. I just choose whatever like, is easier to say?",E17,English,H,Homeland,ACH2004,1,True
Like for example um like aluminium sounds better than aluminum for me so I say aluminum,"Like, for example um:: like aluminium sounds better than aluminum for me, so I say aluminum?",E16,English,H,Homeland,ACH2004,1,True
Aluminium sorry,Aluminium sorry.,E2,English,H,Homeland,ACH2004,0,False
Um but in terms of like,"Um:: but in terms of like,",E6,English,H,Homeland,ACH2004,1,True
But lift like what I think what the British say like crisp which is really hard to say for me so I just say chips,"But lift, like what I think what the British say like crisp, which is really hard to say for me so I just say chips.",E25,English,H,Homeland,ACH2004,0,False
And then I'll say things like ketchup instead of what tomato sauce tomato sauce that sort of thing,"And then I'll say things like ketchup instead of what tomato sauce tomato sauce, that sort of thing.",E18,English,H,Homeland,ACH2004,0,False
It's kind of like a mixture,It's kind of like a mixture.,E6,English,H,Homeland,ACH2004,0,False
It depends on who I hang out with depends on I think it also depends on who I picked up the vocabulary from,"It depends on who I hang out with, depends on — I think it also depends on who I picked up the vocabulary from?",E23,English,H,Homeland,ACH2004,0,False
Like if I heard it for the first time from an Australian I'll probably copy it like the like an Australian,Like if I heard it for the first time from an Australian I'll probably copy it like (the) — like an Australian.,E21,English,H,Homeland,ACH2004,0,False
Yeah I think um like from abroad as well,"Yeah, I think (um like) from abroad as well.",E9,English,H,Homeland,ACH2004,1,True
Like the,Like the:: —,E2,English,H,Homeland,ACH2004,0,False
成個 鬼妹仔 咁 樣 你 係咪 浸 過 鹹水 like going abroad to yeah So like going abroad to yeah,"成個鬼妹仔咁樣, 你係咪浸過鹹水, like going abroad to — yeah.",C9-E11,English,H,Homeland,ACH2004,0,False
yeah So like going abroad to yeah,So like going abroad to yeah.,E7,English,H,Homeland,ACH2004,0,False
