reconstructed_sentence,sentence_original,pattern,matrix_language,group_code,group,participant_id,filler_count,has_fillers
係 喇 佢哋 會 比較 注重 家庭 啦 都 香港 係 喇,"係喇.. 佢哋會:: 比較注重家庭啦, 都, 香港, 係喇.",C12,Cantonese,H,Homeland,ACH2004,0,False
係 嘞 仲有 就,係嘞. 仲有就...,C4,Cantonese,H,Homeland,ACH2004,0,False
即係 好 熱 啊 係 嘞,即係好熱啊. 係嘞.,C6,Cantonese,H,Homeland,ACH2004,1,True
係 嘞 即係 你 要 其他人 即係 人哋 入 嚟 又要 問 吓 佢 即係 飲 唔 飲嘢 啊 即係 係 嘞,"係嘞, 即係你要.. (XX)其他人, 即係人哋入嚟又要問吓佢:: 即係飲唔飲嘢啊?, 即係.. 係嘞.",C22,Cantonese,H,Homeland,ACH2004,2,True
係 喇,(係喇.),C2,Cantonese,H,Homeland,ACH2004,0,False
通常 即係 要 講 譬如 去 剪頭髮 要 講 順 廣東話 咁 樣 就 會 囉 係 嘞,"通常即係要講:: .. 譬如去剪頭髮要講順廣東話咁樣就會囉, 係嘞.",C18,Cantonese,H,Homeland,ACH2004,0,False
跟住 如果 佢 係 廣州 嗰啲 呢 就 通常,"跟住如果佢係廣州嗰啲呢就通常, ",C9,Cantonese,H,Homeland,ACH2004,0,False
佢哋 嘅 用字 會 有啲 唔同 嘅,佢哋嘅用字會有啲唔同嘅.,C7,Cantonese,H,Homeland,ACH2004,0,False
香港人 呀,香港人呀?,C2,Cantonese,H,Homeland,ACH2004,0,False
係 嘞,係嘞.,C2,Cantonese,H,Homeland,ACH2004,0,False
係 嘞,係嘞.,C2,Cantonese,H,Homeland,ACH2004,0,False
我 覺 中國人 唔使,(我覺)中國人唔使.,C4,Cantonese,H,Homeland,ACH2004,0,False
佢 嘅 作用 呀 都 第一 就 同 其他人 溝通 啦,"都... 第一就同其他人溝通啦,",C11,Cantonese,H,Homeland,ACH2004,0,False
即係 但 香 你 廣東話 可能 有 嗰啲 音 呢 話 好 唔 耐煩 咁 樣 即係 係 囉,"即係但(香) — 你廣東話可能有嗰啲音呢, 話好唔耐煩咁樣即係... 係囉.",C19,Cantonese,H,Homeland,ACH2004,1,True
可以 啊,可以啊.,C2,Cantonese,H,Homeland,ACH2007,1,True
我 喺 香港 出世,我喺香港出世.,C4,Cantonese,H,Homeland,ACH2007,0,False
有 兩 個,"有,兩個.",C3,Cantonese,H,Homeland,ACH2007,0,False
一個 係 細佬 跟住 一個 再 細 啲 嘅 阿妹,"一個係細佬,跟住一個,再細啲嘅阿妹.",C10,Cantonese,H,Homeland,ACH2007,0,False
都 係 一齊 住 即係 同一 個 單位,"都係一齊住,即係,同一個單位.",C8,Cantonese,H,Homeland,ACH2007,0,False
係 呀 係,"係呀,係.",C3,Cantonese,H,Homeland,ACH2007,0,False
即係 九成 可能 除咗 旅行 啊 嗰啲 之外 都 係 喺 香港,"即係九成可能除咗旅行啊,嗰啲之外都係喺,香港.",C12,Cantonese,H,Homeland,ACH2007,1,True
有 宗教 背景 嘅 學校 讀,"有宗教背景嘅學校讀,",C6,Cantonese,H,Homeland,ACH2007,0,False
我 會 揀 第一個,我會揀第一個.,C4,Cantonese,H,Homeland,ACH2007,0,False
即係 我 覺得 有啲 感情 嘢 係,"即係,我覺得有啲,感情嘢係,",C7,Cantonese,H,Homeland,ACH2007,0,False
係 呀 係,係呀係.,C3,Cantonese,H,Homeland,ACH2007,0,False
無 得 點 留意 社區 添,"(無得)點留意社區添,",C6,Cantonese,H,Homeland,ACH2007,0,False
係 啊 係,係啊係.,C3,Cantonese,H,Homeland,ACH2007,1,True
係 係,係係.,C2,Cantonese,H,Homeland,ACH2007,0,False
巴基斯坦 嘅 噉樣,"巴基斯坦嘅,噉樣,",C3,Cantonese,H,Homeland,ACH2007,0,False
但係 就 唔,"但係就唔::,",C3,Cantonese,H,Homeland,ACH2007,1,True
多 即係 個 數量 少,"多,即係個數量少.",C5,Cantonese,H,Homeland,ACH2007,0,False
即係 你 對 呢個 地方 嘅 感受 譬如 就話 即係 你 係咪 真係,"即係你對呢個地方嘅感受,譬如就話(xx),即係你係咪真係,",C13,Cantonese,H,Homeland,ACH2007,0,False
有 有 一個 感情 連繫 嘅 咁 我 都 可以 計 自己 係,"有,有一個感情連繫嘅,咁我都可以計自己係.",C13,Cantonese,H,Homeland,ACH2007,0,False
即係 你 當然 如果 你 傾 咗 好耐 咁 就 容易 啲 有 個 感情 但係 亦都 唔係 調轉 翻 話 只要 你 住 得 夠 耐 咁 你 就 一直 係 啦,"即係,你當然如果你(傾)咗好耐,咁就容易啲有個感情,但係,亦都唔係調轉翻話,只要你住得夠耐,咁你就一直係啦.",C33,Cantonese,H,Homeland,ACH2007,0,False
咁 要,咁要—,C2,Cantonese,H,Homeland,ACH2007,0,False
但係 我 覺得 即係 如果 佢 真係 即係 鍾意 呢個 地方 嘅 咁 我 覺得 都 可以 計 囉,"但係我覺得即係如果佢真係(x),即係鍾意呢個地方嘅,咁我覺得都可以計囉,",C19,Cantonese,H,Homeland,ACH2007,0,False
我 覺得 都 係 都 係 類似 啦 好 都 係 好 講 感情 嘅 即係 你 話 好 喜歡 嗰個 嗰個 國家 嘅 咁 你 就可以 計 自己 係 啦,"我覺得都係,都係類似啦,好,都係好講感情嘅,即係,你話好喜歡嗰個,嗰個國家嘅,咁你就可以,計,自己係啦.",C31,Cantonese,H,Homeland,ACH2007,0,False
都 都 係 一個,"都,都係一個.",C4,Cantonese,H,Homeland,ACH2007,0,False
我 覺得 係 尤其 係 由 文化 嗰度 嗰度 入手 即係 唔 唔係 因為 一個 例如 你 話 國家 有 好多,"我覺得係,尤其係由文化嗰度,嗰度入手,即係,唔,唔係,因為一個,例如你話國家,有好多,",C21,Cantonese,H,Homeland,ACH2007,1,True
例如 係 嗰個,"例如係嗰個,",C3,Cantonese,H,Homeland,ACH2007,0,False
而 我 覺得 即係 如果 你 想,"而我覺得,即係如果你想,",C7,Cantonese,H,Homeland,ACH2007,0,False
我 覺得 反而 係 即係 佢 自己 點樣 睇,"我覺得反而係,即係佢自己點樣睇,",C9,Cantonese,H,Homeland,ACH2007,0,False
即係 有少少 似 嗰啲,"即係有少少似嗰啲,",C4,Cantonese,H,Homeland,ACH2007,0,False
即係 我 覺得 你 你 覺得 自己 係 乜嘢 嘢 咁,"即係我覺得,你,你覺得自己係乜嘢嘢, 咁,",C11,Cantonese,H,Homeland,ACH2007,0,False
咁 我 會 即係 噉樣 去 對 返 你 囉,"咁,我會,即係,噉樣去,對返你囉,",C10,Cantonese,H,Homeland,ACH2007,0,False
香港人 嘅 咁 我 都 可以 就咁 即係 睇返,"香港人嘅,咁我,都可以,就咁,即係睇返,",C9,Cantonese,H,Homeland,ACH2007,0,False
你 囉,你囉.,C2,Cantonese,H,Homeland,ACH2007,0,False
有 有少少 美國 又 有啲 香港 咁,"有有少少,美國,又有啲,香港咁,",C7,Cantonese,H,Homeland,ACH2007,0,False
講 就 應該,"講,就應該,",C3,Cantonese,H,Homeland,ACH2007,0,False
即係 有啲 識聽 好 勉強,"即係有啲識聽,好勉強.",C5,Cantonese,H,Homeland,ACH2007,0,False
無 啦,無啦.,C2,Cantonese,H,Homeland,ACH2007,0,False
哦 普通 識 我 漏 咗 呢 一個 呢個,"哦,普通(識),我漏咗呢一個,(XXX)呢個.",C9,Cantonese,H,Homeland,ACH2007,1,True
方言 嗰啲 就 應該 無,方言嗰啲就應該無.,C5,Cantonese,H,Homeland,ACH2007,0,False
識聽 就 會 用 呢個 啦,識聽就會用呢個啦.,C6,Cantonese,H,Homeland,ACH2007,0,False
跟住 英文 就,"跟住英文就,",C3,Cantonese,H,Homeland,ACH2007,0,False
好 少 講,"好少講,",C3,Cantonese,H,Homeland,ACH2007,0,False
四川 話 即係 就咁 用來 聽個 我 媽,"四川話,即係,就咁用來,聽個我媽,",C8,Cantonese,H,Homeland,ACH2007,0,False
同 佢 親戚 打電話 去 就 會 聽 佢 講 啲 八卦,"同佢親戚打電話去,就會聽佢講啲八卦.",C12,Cantonese,H,Homeland,ACH2007,0,False
跟住 英文 就 唔 識 啦,"跟住英文就,唔識啦.",C6,Cantonese,H,Homeland,ACH2007,1,True
跟住 我 老竇 係 識講 廣東話 即係 好過 我 阿媽 噉樣,"跟住我老竇,係,識講,廣東話,即係好過我阿媽噉樣,",C11,Cantonese,H,Homeland,ACH2007,0,False
但係 如果 真係 有 嘅話 呢,"但係如果真係有嘅話呢,",C6,Cantonese,H,Homeland,ACH2007,0,False
即係 我 點 都 希望 即係 佢哋 可能,"即係我,點都希望即係,佢哋可能,",C8,Cantonese,H,Homeland,ACH2007,0,False
會 識 呢個 語言 啦 但係 即係 你 話 佢 學 到 幾多 就 唔 強求,"會識呢個,語言啦,但係即係你話佢學到幾多就唔強求.",C16,Cantonese,H,Homeland,ACH2007,1,True
完全 係 溝通 唔 到 聽落 似 過 講 廣東話 多過 講 英文 嗰啲 我 覺得 即係 去到,"完全係溝通唔到,聽落似過講廣東話多過講英文嗰啲,我覺得即係去到,",C18,Cantonese,H,Homeland,ACH2007,1,True
阻礙 咗 溝通 嘅 嗰啲 就 先 會 成為 一個 問題 啦 但係,"阻礙咗溝通嘅嗰啲就,先會成為一個問題啦.",C13,Cantonese,H,Homeland,ACH2007,0,False
阻礙 咗 溝通 嘅 嗰啲 就 先 會 成為 一個 問題 啦 但係 平時 係 好 自然 嘅 一樣嘢 就 好似,"但係(x)平時,係,好,自然嘅一樣嘢,就好似,",C21,Cantonese,H,Homeland,ACH2007,0,False
咁 我 就 講嘢 比較 偏 懶 嘅 即係 我 我 又 唔係 話 即係,"咁我就講嘢比較偏懶嘅,即係,",C15,Cantonese,H,Homeland,ACH2007,0,False
即係 個 嘴 啊 唔 郁 就 最好 啦,"即係個嘴啊唔郁就最好啦,",C9,Cantonese,H,Homeland,ACH2007,2,True
跟住 條 脷 又 唔好 點樣 郁 啦 咁 所以 我 講出嚟 啲 嘢 係 好 略 跟住,"跟住條脷又唔好點樣郁啦,",C18,Cantonese,H,Homeland,ACH2007,0,False
跟住 條 脷 又 唔好 點樣 郁 啦 咁 所以 我 講出嚟 啲 嘢 係 好 略 跟住,"咁所以我講出嚟啲嘢係好略,跟住,",C18,Cantonese,H,Homeland,ACH2007,0,False
但係 我 覺得 其實 係 一個 大雜燴 噉樣 囉 即係,"但係我覺得其實係一個,大雜燴噉樣囉,即係,",C10,Cantonese,H,Homeland,ACH2007,0,False
應該 都 係 略 囉,應該都係略囉.,C5,Cantonese,H,Homeland,ACH2007,0,False
跟住 基本上 你 聽 我 嘴快 我 喺度 喺度 轉來轉去 跟住 唔係 好聽 到 即係 可能,"跟住基本上,你(聽我嘴快),我喺度,喺度轉來轉去, 跟住唔係好聽到,即係可能,",C16,Cantonese,H,Homeland,ACH2007,0,False
純粹 係 好好 略 呢 樣嘢,"純粹係好好略呢樣嘢,",C6,Cantonese,H,Homeland,ACH2007,0,False
我 即係 可以 大約 話 佢 係唔係 講 一個 比較 港式 啲 嘅 廣東話 但係,"我即係可以,大約話佢係唔係,講一個比較港式啲嘅廣東話,但係,",C15,Cantonese,H,Homeland,ACH2007,0,False
咁 有啲 人 都 可以 將 嗰個 港式 廣東話 聊 得 出神入化 但係 唔係 香港人 囉 即係 呢 兩 個 唔 可以 直接 鑒別 但係,"咁有啲人,都可以將嗰個港式廣東話聊得出神入化,但係唔係,香港人囉,即係,呢兩個唔可以直接(鑒別),但係,",C25,Cantonese,H,Homeland,ACH2007,1,True
係 囉 即係 如果 佢 講得 好 港式 嘅 咁 應該 都 可以 聽 得 出 嘅,"係囉,即係如果佢講得,好港式嘅,咁應該都可以聽得出嘅.",C17,Cantonese,H,Homeland,ACH2007,0,False
即係 例如 有啲 比較 懶音 嗰啲 香港 嗰啲 獨有 嘅 懶音 啦 又 或者 係 調 返轉頭 即係 如果 你 係,"即係例如有啲比較,懶音,嗰啲香港,嗰啲獨有嘅懶音啦,又或者係,調返轉頭,即係,如果你係,",C21,Cantonese,H,Homeland,ACH2007,0,False
即係 好似 嗰啲 人 成日 講咩 譚仔 姐姐 嗰啲 佢 有 嗰啲 獨特 嘅 譚仔 腔 一 聽 就知 啊 佢哋 唔係 唔係 港式,"即係好似嗰啲,人成日講咩譚仔姐姐嗰啲,佢有嗰啲獨特嘅譚仔腔,一聽就知啊佢哋唔係,唔係港式.",C24,Cantonese,H,Homeland,ACH2007,1,True
即係 分辨 到 出 嚟 咁 但係 如果 係,"即係分辨到出嚟,咁但係如果係,",C9,Cantonese,H,Homeland,ACH2007,0,False
唔 一定 識講 你 可能 你 都 噉樣 去 去 研究 佢 即係 可能 有啲,"唔一定識講,你可能,你都(xx)噉樣去,去研究佢,",C15,Cantonese,H,Homeland,ACH2007,1,True
佢 鍾意 即係 佢 作為 例如 香港人 呢個 身份 認同 嘅 一個 表現,"佢,鍾意,即係佢作為,例如香港人呢個身份認同嘅一個表現.",C13,Cantonese,H,Homeland,ACH2007,0,False
如果 佢 想 學 嘅,"如果佢想學嘅,",C5,Cantonese,H,Homeland,ACH2007,0,False
咁 即係 當 即係 當然 歡迎 啦 因為 始終 都 唔 易學 嘅 但係,"咁,即係當,即係當然歡迎啦,因為,始終都唔易學嘅,但係,",C14,Cantonese,H,Homeland,ACH2007,1,True
即係 去 去 去到 即係 要 一定要 咁 我 覺得,"即係,去去去到即係要,一定要,咁我覺得,",C10,Cantonese,H,Homeland,ACH2007,0,False
唔係 囉 始終 佢 嘅 地域 咁大 佢,"唔係囉,始終佢嘅地域咁大,佢,",C8,Cantonese,H,Homeland,ACH2007,0,False
佢 呢 一個 即係,"佢呢一個,即係,",C4,Cantonese,H,Homeland,ACH2007,0,False
成日 處於 一個 尷尬 嘅 一個 位置,"成日處於一個尷尬嘅一個位置,",C7,Cantonese,H,Homeland,ACH2007,0,False
同埋 我 覺得 其實 幾 似 佢哋 嘅 身份 囉,"同埋我覺得其實幾似佢哋嘅身份囉,",C10,Cantonese,H,Homeland,ACH2007,0,False
朋友 嗰啲 佢 講嘢 啊 咁 就 會 用 多 啲 廣東話 咁 如果 係,"朋友,嗰啲佢講嘢啊,咁就會用多啲廣東話,咁如果係,",C15,Cantonese,H,Homeland,ACH2007,1,True
可能 成 句 突然間 講講 吓 跟住 又 一句 成 句 都 係 用 英文 講 又 或者 有時候 想,"可能成句突然間講講吓,跟住又一句成句都係用英文講，",C20,Cantonese,H,Homeland,ACH2007,0,False
要 英文 嘅 咁 就 當然 用返 英文 啦 有啲 係 可能 對方 本身 識 嘅 嗰個 嗰個 語言 同 即係 自己 係 唔 一樣 咁 盡量 搵 中間 會 平衡 啲 咁 可能 有時 係,"有啲係可能對方本身識嘅嗰個,嗰個語言同,即係自己係唔一樣,咁盡量搵中間會平衡啲,",C36,Cantonese,H,Homeland,ACH2007,1,True
有啲 係 可能 對方 本身 識 嘅 嗰個 嗰個 語言 同 即係 自己 係 唔 一樣 咁 盡量 搵 中間 會 平衡 啲 咁 可能 有時 係,"咁可能有時係,",C27,Cantonese,H,Homeland,ACH2007,1,True
跟住 同埋,"跟住同埋,",C2,Cantonese,H,Homeland,ACH2007,0,False
有時 就 純粹 係 心情 囉 即係 有啲 有啲 句子 可能 係 得 英文 或者 係 佢 個,"有時就純粹係心情囉,",C18,Cantonese,H,Homeland,ACH2007,0,False
應該 其實 都 有,"應該,其實都有.",C4,Cantonese,H,Homeland,ACH2007,0,False
因為 始終 嗰個 語言 好 好 即係,"因為,始終嗰個,語言好,好,即係,",C7,Cantonese,H,Homeland,ACH2007,0,False
囉 即係 如果 你 係,"即係如果你係,",C5,Cantonese,H,Homeland,ACH2007,0,False
嘅 即係 例如 係 一啲 名詞 啊 一啲 動詞 啦 即係,"即係例如係一啲,名詞啊,一啲動詞啦,即係,",C11,Cantonese,H,Homeland,ACH2007,1,True
仲要 係 因為 外國 有 嗰啲 講法 先 跟住 你 再 同埋 你 用 嗰啲 講法 講 係 會 快 啲 啊 可能 多個 音節 少 啲 啊 又 或者 係,"同埋你用嗰啲講法講係,會快啲啊,",C31,Cantonese,H,Homeland,ACH2007,2,True
同埋 你 用 嗰啲 講法 講 係 會 快 啲 啊 可能 多個 音節 少 啲 啊 又 或者 係,"可能多個音節少啲啊,又或者係,",C20,Cantonese,H,Homeland,ACH2007,2,True
唔 平時 唔會 攞嚟做,"唔,平時唔會,攞嚟做,",C4,Cantonese,H,Homeland,ACH2007,1,True
一個字 中文 一個字 英文 咁 就 會 覺得 有啲 反而 阻 咗 佢 因為 本身,"咁就會覺得有啲,反而阻咗佢,",C15,Cantonese,H,Homeland,ACH2007,0,False
但係 如果 你 噉樣 反而 阻住 咗 溝通 就 無,"但係如果你噉樣,反而,阻住咗溝通,就無.",C10,Cantonese,H,Homeland,ACH2007,0,False
啊 係 啊 係 啊,啊係啊係啊.,C5,Cantonese,H,Homeland,ACH2013,3,True
喺 廣東省,喺廣東省.,C2,Cantonese,H,Homeland,ACH2013,0,False
都 係,都係.,C2,Cantonese,H,Homeland,ACH2013,0,False
有 一個 家姐,有一個家姐.,C3,Cantonese,H,Homeland,ACH2013,0,False
佢 而家 係 波蘭,佢而家係波蘭.,C4,Cantonese,H,Homeland,ACH2013,0,False
係 啊 係 啊 係,係啊係啊係.,C5,Cantonese,H,Homeland,ACH2013,2,True
有 搬 過 屋 但係 都 係 同一 區,有搬過屋但係都係同一區.,C9,Cantonese,H,Homeland,ACH2013,0,False
有 一 有 去過 一個 月 旅行 啦 但係 我 唔 唔係 長時 間 我 諗,"有一有去過一個月旅行啦,但係我唔,唔係長時間我諗.",C16,Cantonese,H,Homeland,ACH2013,1,True
係 啊,係啊.,C2,Cantonese,H,Homeland,ACH2013,1,True
我 而家 呢度 你 講,我而家呢度你講?,C5,Cantonese,H,Homeland,ACH2013,0,False
我 諗 我 諗,"我諗我諗,",C4,Cantonese,H,Homeland,ACH2013,0,False
我 諗 點 係 真 香港人,"我諗點係真香港人,",C6,Cantonese,H,Homeland,ACH2013,0,False
或者 可能,或者可能——,C2,Cantonese,H,Homeland,ACH2013,0,False
我 都 唔知 喎 因爲,"我都唔知喎因爲,",C5,Cantonese,H,Homeland,ACH2013,0,False
係 囉 我 諗 我 諗 香港 啫 香港人 即 包容 性 都 大 即 都 可以 容納 到 啲 唔同 嘅 價值觀 嘅,"係囉我諗, 我諗香港,啫香港人即包容性都大,即都可以容納到啲唔同嘅價值觀嘅.",C24,Cantonese,H,Homeland,ACH2013,0,False
所以 都 好 難 有啲 好 共同 嘅,所以都好難有啲好共同嘅——,C8,Cantonese,H,Homeland,ACH2013,0,False
特點 我 諗,"特點,我諗.",C3,Cantonese,H,Homeland,ACH2013,0,False
我 都 唔知 我 諗 我 諗,"我都唔知,我諗我諗,",C7,Cantonese,H,Homeland,ACH2013,0,False
我 諗,"我諗,",C2,Cantonese,H,Homeland,ACH2013,0,False
都 係 好好 好似 好用 血統 去定 義 㗎 嘛 咁 咁 就 即 而家 佢 搬開 個 諗法 嘅話 咁 咁 我 覺得 係 囉 就 比較 難 去 講話 要點 樣,"都係好好好似好用血統去定義㗎嘛咁咁就, 即而家佢搬開個諗法嘅話,咁, 咁我覺得係囉就比較難去講話要點樣——",C33,Cantonese,H,Homeland,ACH2013,0,False
先可以 係 係 囉,"先可以係,係囉.",C4,Cantonese,H,Homeland,ACH2013,0,False
即 譬如 有啲 文化 好 唔同 嘅 嘅 群 體 咁 譬如 譬如 維吾爾人 或者 西藏人 咁 佢 都 會話 係 中國人 嘅話 咁 就 好 難 有啲 好 難搵 到 啲 共通 嘅 特點 啦 即如 果 你 講 而家,"即譬如有啲文化好唔同嘅嘅群體,咁譬如譬如維吾爾人或者西藏人咁佢都會話係中國人嘅話咁就好難有啲好難搵到啲共通嘅特點啦即如果你講而家——",C41,Cantonese,H,Homeland,ACH2013,0,False
我 覺得,我覺得——,C2,Cantonese,H,Homeland,ACH2013,0,False
咁 我 就 唔知 啦 咁 我 可能 呢 樣嘢 唔 存在 添 如果 你 問 我 嘅話 係 啊,"咁我就唔知啦,咁我可能呢樣嘢唔存在添,如果你問我嘅話,係啊.",C20,Cantonese,H,Homeland,ACH2013,2,True
即可 能 可能 會 崇尚 自由 呀 或者,即可能可能會崇尚自由呀或者——,C8,Cantonese,H,Homeland,ACH2013,0,False
係 啦 係 啦,係啦係啦.,C4,Cantonese,H,Homeland,ACH2013,0,False
哦 我 學 我 學 過 法文 同 西班牙文,"哦我學我學過法文,同西班牙文.",C9,Cantonese,H,Homeland,ACH2013,1,True
唔 識 架 上 過 一陣 啫,唔識架上過一陣啫.,C7,Cantonese,H,Homeland,ACH2013,1,True
係 啊,係啊.,C2,Cantonese,H,Homeland,ACH2013,1,True
哦 係 喔 係 喔 唔記得 咗 係 啊 係 啊 識 啊 識 啊,哦係喔係喔唔記得咗係啊係啊識啊識啊.,C15,Cantonese,H,Homeland,ACH2013,5,True
識 聼 囉,識聼囉.,C3,Cantonese,H,Homeland,ACH2013,0,False
講 就 有啲 口音 囉,講就有啲口音囉.,C5,Cantonese,H,Homeland,ACH2013,0,False
係 係,係係.,C2,Cantonese,H,Homeland,ACH2013,0,False
係 囉 係 囉 係,"係囉係囉係,",C5,Cantonese,H,Homeland,ACH2013,0,False
係 即係 唔同 語言,係即係唔同語言.,C4,Cantonese,H,Homeland,ACH2013,0,False
係 呀 係 呀 係,係呀係呀係.,C5,Cantonese,H,Homeland,ACH2013,0,False
我 我,"我我,",C2,Cantonese,H,Homeland,ACH2013,0,False
咁 係 囉 即係 日常生活 即係 九成 都 係 講 廣東話 嘅 咁,"咁,係囉即係日常生活即係九成都係講廣東話嘅咁——",C13,Cantonese,H,Homeland,ACH2013,0,False
英文 就係 學術 環境 啦,"英文就係學術環境啦,",C5,Cantonese,H,Homeland,ACH2013,0,False
即係 譬如 除咗 童 老師 同埋 同 我 一齊 學 緊 嘅 同學,即係譬如除咗童老師同埋同我一齊學緊嘅同學.,C13,Cantonese,H,Homeland,ACH2013,0,False
即 即 即係 係 用 英文 去 理解 咁 樣 係 囉,"即即即係係用英文去理解咁樣,係囉.",C12,Cantonese,H,Homeland,ACH2013,0,False
