sentence,pattern,lang_type,pos_sequence,sequence_length,error
Mm 我 覺得 香港 好 特別 就係 廣東話 囉 即係 要 廣東話 要 講得 即係 明白 個 語言 囉,E1-C18,Code-switched,NOUN PRON VERB PROPN ADV ADV ADV PROPN NOUN CCONJ AUX ADV AUX VERB CCONJ ADJ NOUN NOUN NOUN,19,False
即係 好 佢 好多 嘢 都 係 好 好 subtle 㗎 嘛 即係 啲 成語 啊 或者 啲 句子 啊 都,C9-E1-C11,Code-switched,CCONJ ADV PRON NUM NOUN ADV VERB ADV ADJ ADJ PART PROPN CCONJ NOUN NOUN PART CCONJ NOUN NOUN PART ADV,21,False
係 嘞 呢 樣嘢 會 separate 香港 囉 同埋 而家 啲 近排 啦 即係 politically 啲 香港 即係 個 identity 呢 都 好 strong 啦,C5-E1-C8-E1-C4-E1-C3-E1-C1,Code-switched,VERB PART PART NOUN AUX ADJ PROPN NOUN CCONJ ADV NOUN ADV NOUN CCONJ ADV NOUN PROPN CCONJ NOUN NOUN PART ADV ADV ADJ VERB,25,False
係 嘞 仲有 就,C4,Cantonese,VERB PART VERB ADV,4,False
Understand 即係 struggles of 香港人 as well 囉 即係 我哋 啲 譬如 買樓 啊 好 辛苦 啊 儲 唔 到 錢 啊 咁 樣 或者 同 阿媽 住 呀 咁 樣 呢啲 struggles 佢哋 會 明白 囉 唔 鍾意 政府 啦 係 嘞,E1-C1-E2-C1-E2-C25-E1-C10,Code-switched,VERB CCONJ NOUN ADP PROPN ADV ADV INTJ CCONJ PRON NOUN VERB ADJ PART ADV ADJ PART VERB ADV PART NOUN PART ADV NOUN CCONJ ADP NOUN PART PART ADV NOUN PRON NOUN PRON AUX VERB ADJ ADV VERB NOUN NOUN VERB PART,43,False
Uh 香港 好 潮 濕 啦 即係 我 覺得 香港人 其實 比較 鍾意 complain 㗎 但係 所以 就 obviously 有 好多 好嘢 啦 但係 就 係 嘞 係 啦,E1-C12-E1-C4-E1-C10,Code-switched,INTJ PROPN ADV ADJ NOUN VERB CCONJ PRON VERB PROPN ADV ADV VERB VERB PART CCONJ CCONJ ADV ADV VERB NUM ADJ NOUN CCONJ ADV VERB PART VERB VERB,29,False
These are the things that bond Hong Kong people together,E10,English,PRON AUX DET NOUN PRON VERB PROPN PROPN NOUN ADV,10,False
即係 好 熱 啊 係 嘞,C6,Cantonese,CCONJ ADV ADJ PART VERB PART,6,False
真 中國人 我 覺得 eh 好 嘅 方面 來講 呢 即係 啲 好 eh 啲 values 啦 譬如 嗰啲 咩 忠孝 仁義 即係 孔子 留低 嗰啲 eh 要 愛錫 屋企人 啊 要 尊重 乜乜乜 啊 係 嘞 嗰啲 啦,C4-E1-C8-E1-C1-E1-C10-E1-C12,Code-switched,ADJ NOUN PRON VERB INTJ ADJ PART NOUN VERB PART CCONJ NOUN ADV INTJ NOUN NOUN ADV VERB PRON PRON NOUN NOUN CCONJ NOUN VERB PRON INTJ AUX VERB NOUN PART AUX VERB PRON PART VERB PART PRON ADP,39,False
Eh 讀 嗰啲 好 嘅 qualities 啦 就 eh 比較 humble 啦 eh 無 即係 驕傲 啊 無 即係 eh show off 啊,E1-C4-E1-C2-E1-C1-E1-C1-E1-C6-E3-C1,Code-switched,INTJ VERB PRON ADJ PART NOUN NOUN ADV INTJ ADV ADJ VERB INTJ ADV CCONJ VERB PART ADJ CCONJ INTJ VERB ADP INTJ,23,False
Uh treat others how they would treat you,E8,English,INTJ VERB NOUN SCONJ PRON AUX VERB PRON,8,False
You know 即係 呢啲 好 considerate 囉 我 覺得 中 即係 中國 嗰個,E2-C3-E1-C7,Code-switched,PRON VERB CCONJ PART ADV NOUN INTJ PRON VERB NOUN CCONJ PROPN PRON,13,False
That's how they raise you to be,E7,English,PRON AUX SCONJ PRON VERB PRON PART AUX,8,False
係 嘞 即係 你 要 其他人 即係 人哋 入 嚟 又要 問 吓 佢 即係 飲 唔 飲嘢 啊 即係 係 嘞,C22,Cantonese,VERB PART CCONJ PRON AUX NOUN CCONJ PRON VERB VERB PART VERB PART PRON CCONJ VERB ADV VERB PART CCONJ VERB PART,22,False
要 去 諗 對方 嗰個 perspective 啦,C5-E1-C1,Code-switched,AUX VERB VERB NOUN PRON NOUN VERB,7,False
Eh 要 禮尚往來 啦 要 即係 呢啲 好多 customs 啦 注重 festivals 啦 eh,E1-C7-E1-C2-E1-C1-E1,Code-switched,INTJ AUX VERB VERB AUX CCONJ PART NUM NOUN NOUN NOUN NOUN VERB INTJ,14,False
咁 中 係 囉 咁 politically 我 又 覺得 你 唔 需要 好 nationalistic 先可以 做 中國人 嘅 係 囉 係 嘞,C5-E1-C7-E1-C8,Code-switched,ADV ADJ VERB NOUN ADV ADV PRON ADV VERB PRON ADV AUX ADV ADJ PROPN VERB ADJ PART VERB NOUN VERB PART,22,False
我 諗 都 係 通常 對 我 嚟講 淨係 講 culture 囉 即係 你 有無 嗰個 嗰啲 觀念 啊 同埋 啲 behavior 囉 係 嘞,C10-E1-C10-E1-C3,Code-switched,PRON VERB ADV VERB ADV ADP PRON VERB ADV VERB NOUN INTJ CCONJ PRON VERB PRON PRON NOUN PART CCONJ NOUN NOUN NOUN VERB PART,25,False
American oh um a true American,E6,English,ADJ INTJ INTJ DET ADJ ADJ,6,False
Like in my head this is like the media that I receive perceive Americans are like,E16,English,INTJ ADP PRON NOUN PRON AUX ADP DET NOUN PRON PRON VERB ADJ PROPN AUX ADP,16,False
I feel like it's an extreme,E6,English,PRON VERB SCONJ PRON AUX DET NOUN,7,False
Like I don't I don't know if it's called the Midwest but in like the more Republican states they're very conservative anti abortion like those people,E26,English,INTJ PRON AUX PART PRON AUX PART VERB SCONJ PRON AUX VERB DET PROPN CCONJ ADP ADP DET ADV ADJ NOUN PRON AUX ADV ADJ ADJ NOUN ADP DET NOUN,30,False
Like obviously not everyone,E4,English,ADP ADV PART PRON,4,False
But the more religious Bible belt kind of like crowd,E10,English,CCONJ DET ADV ADJ PROPN NOUN ADV ADV ADP NOUN,10,False
Gospel singing you know yeah,E5,English,PROPN VERB PRON VERB INTJ,5,False
So stereotype but on the coast you have like the West Coast which are the really tech people very progressive very LGBTQ friendly very like into coffee culture you know the millennial like lifestyle,E34,English,ADV VERB CCONJ ADP DET NOUN PRON AUX INTJ DET PROPN PROPN PRON AUX DET ADV ADJ NOUN ADV ADJ ADV NOUN ADJ ADV ADV ADP NOUN NOUN PRON VERB DET ADJ ADP NOUN,34,False
Also really high stress though cause of the hours they work they work in like Amazon blah blah blah they're all like part time Youtubers not all but part time Youtubers innovative,E32,English,ADV ADV ADJ NOUN SCONJ NOUN ADP DET NOUN PRON VERB PRON VERB ADP ADP PROPN INTJ INTJ INTJ PRON AUX ADV INTJ NOUN NOUN PROPN PART ADV SCONJ NOUN NOUN NOUN ADJ,33,False
I think so,E3,English,PRON VERB ADV,3,False
American born Chinese American Chinese,E5,English,PROPN VERB ADJ PROPN PROPN,5,False
Yeah ABC,E2,English,INTJ PROPN,2,False
Uh I guess both American and Chinese,E7,English,INTJ PRON VERB CCONJ ADJ CCONJ ADJ,7,False
Just both,E2,English,ADV PRON,2,False
Oh oh American and,E4,English,INTJ INTJ ADJ CCONJ,4,False
I think like most people would say American Chinese first And then if you really get to know them then I will ask them oh which part of China are you from,E32,English,PRON VERB SCONJ ADJ NOUN AUX VERB ADJ PROPN ADV CCONJ ADV SCONJ PRON ADV VERB PART VERB PRON ADV PRON AUX VERB PRON INTJ DET NOUN ADP PROPN AUX PRON ADP,32,False
I think like most people would say American Chinese first And then if you really get to know them then I will ask them oh which part of China are you from,E32,English,PRON VERB SCONJ ADJ NOUN AUX VERB ADJ PROPN ADV CCONJ ADV SCONJ PRON ADV VERB PART VERB PRON ADV PRON AUX VERB PRON INTJ DET NOUN ADP PROPN AUX PRON ADP,32,False
And then they might be like okay American Hong Kong then that's like it's like a more specific Like a subset Chinese Yeah,E23,English,CCONJ ADV PRON AUX AUX INTJ INTJ PROPN PROPN PROPN ADV PRON AUX SCONJ PRON AUX ADP DET ADV ADJ ADP DET NOUN PROPN PROPN,25,False
Uh Mandarin as well,E4,English,INTJ PROPN ADV ADV,4,False
Uh also bit of Spanish and French,E7,English,INTJ ADV NOUN ADP ADJ CCONJ ADJ,7,False
Uh 啲 A few words doesn't count I think,E1-C1-E7,Code-switched,INTJ NOUN DET ADJ NOUN AUX PART VERB PRON VERB,10,False
Few words,E2,English,ADJ NOUN,2,False
Uh 潮州話 Like the dialect Yeah,E1-C1-E4,Code-switched,INTJ CCONJ ADP DET NOUN INTJ,6,False
Uh so at home it's it's mostly a mixture of English and Cantonese,E13,English,INTJ ADV ADP NOUN PRON AUX PRON AUX ADV DET NOUN ADP PROPN CCONJ PROPN,15,False
Everywhere apart from work,E4,English,ADV ADV ADP NOUN,4,False
Work is you try to stick uh with Cantonese because the patient might not understand English,E16,English,NOUN AUX PRON VERB PART VERB INTJ ADP PROPN SCONJ DET NOUN AUX PART VERB PROPN,16,False
Uh unless they don't understand it,E6,English,INTJ SCONJ PRON AUX PART VERB PRON,7,False
Uh Cantonese,E2,English,INTJ NOUN,2,False
And English,E2,English,CCONJ PROPN,2,False
Oh you mean like everything Like not just towards us,E10,English,INTJ PRON VERB ADP PRON ADP PART ADV ADP PRON,10,False
Oh you mean like everything Like not just towards us Oh um same like Cantonese English Mandarin,E17,English,INTJ PRON VERB ADP PRON ADP PART ADV ADP PRON INTJ INTJ ADJ ADP PROPN PROPN PROPN,17,False
Like not just towards us Oh um same like Cantonese English Mandarin,E12,English,ADP PART ADV ADP PRON INTJ INTJ ADJ ADP PROPN PROPN PROPN,12,False
And my mom speaks 潮州話 as well,E4-C1-E2,Code-switched,CCONJ PRON NOUN VERB CCONJ ADV ADV,7,False
Because like on my mom's side of the family Cause uh they a lot of them don't speak English so if my children didn't speak Cantonese then they would lose that connection with them cause you know language barrier,E39,English,SCONJ INTJ ADP PRON NOUN PART NOUN ADP DET NOUN PROPN INTJ PRON DET NOUN ADP PRON AUX PART VERB PROPN ADV SCONJ PRON NOUN AUX PART VERB PROPN ADV PRON AUX VERB DET NOUN ADP PRON VERB PRON VERB NOUN NOUN,42,False
Yeah so it is important,E5,English,INTJ ADV PRON AUX ADJ,5,False
Realistically I don't know how yeah,E6,English,ADV PRON AUX PART VERB SCONJ INTJ,7,False
How easy it would be to teach them cause I'm also like not completely fluent,E15,English,SCONJ ADJ PRON AUX AUX PART VERB PRON SCONJ PRON AUX ADV ADP PART ADV ADJ,16,False
So it's like I have half and then they're going to be like half of me so might be a little bit limited but we'll see,E26,English,ADV PRON AUX SCONJ PRON VERB NOUN CCONJ ADV PRON AUX VERB PART AUX SCONJ NOUN ADP PRON ADV AUX AUX DET ADJ NOUN ADJ CCONJ PRON AUX VERB,29,False
係 喇,C2,Cantonese,VERB PART,2,False
I guess it depends on where I am,E8,English,PRON VERB PRON VERB ADP SCONJ PRON AUX,8,False
If I'm in Hong Kong then I'm not too surprised cause it's pretty much everywhere,E15,English,SCONJ PRON AUX ADP PROPN PROPN ADV PRON AUX PART ADV ADJ SCONJ PRON AUX ADV ADV ADV,18,False
If I'm abroad I'll be like woah they probably speak Cantonese and I'll be like quite interested,E17,English,SCONJ PRON AUX ADV PRON AUX AUX INTJ INTJ PRON ADV VERB PROPN CCONJ PRON AUX AUX ADP ADV ADJ,20,False
Like I'll be interested and be like oh I wonder where he's from,E13,English,INTJ PRON AUX AUX ADJ CCONJ AUX INTJ INTJ PRON VERB SCONJ PRON AUX ADP,15,False
Or she's from yeah,E4,English,CCONJ PRON AUX ADP INTJ,5,False
Mm yep,E2,English,PROPN INTJ,2,False
Um I think cause international school,E6,English,INTJ PRON VERB VERB ADJ NOUN,6,False
Uh so I'm not like I got the kind of like an American accent but like uh so they ask me where I'm from that sort of Yeah,E28,English,INTJ ADV PRON AUX PART INTJ PRON VERB DET NOUN ADP ADP DET ADJ NOUN CCONJ INTJ INTJ ADV PRON VERB PRON SCONJ PRON AUX ADP DET NOUN ADV INTJ,30,False
Or even at home,E4,English,CCONJ ADV ADP NOUN,4,False
Uh online friends Like online people cause they obviously haven't seen me yet like just voice chats like on Discord,E20,English,INTJ ADJ NOUN ADP ADJ NOUN VERB PRON ADV AUX PART VERB PRON ADV INTJ ADV NOUN NOUN ADP ADP PROPN,21,False
Wait this is on my English right,E7,English,VERB PRON AUX ADP PRON PROPN NOUN,7,False
Um also,E2,English,INTJ ADV,2,False
I'll try not to,E4,English,PRON AUX VERB PART PART,5,False
Um and also in real life people ask me oh have you been abroad,E14,English,INTJ CCONJ ADV ADP ADJ NOUN NOUN VERB PRON INTJ AUX PRON AUX ADV,14,False
Just Yeah,E2,English,ADV INTJ,2,False
Usually that,E2,English,ADV PRON,2,False
Um like accent Or like,E5,English,INTJ INTJ ADJ CCONJ INTJ,5,False
Okay Spelling I think like writing is English like British English cause,E12,English,INTJ NOUN PRON VERB SCONJ NOUN AUX ADJ ADP ADJ PROPN NOUN,12,False
But international school is like an English foundation so all my teachers were British so spell color with U R that sort of thing,E24,English,CCONJ ADJ NOUN AUX ADP DET ADJ NOUN SCONJ DET PRON NOUN AUX ADJ ADV ADJ NOUN ADP PROPN PROPN PRON NOUN ADP NOUN,24,False
And then accent is more American,E6,English,CCONJ ADV ADJ AUX ADV ADJ,6,False
I got you back,E4,English,PRON VERB PRON ADV,4,False
No it's good,E3,English,INTJ PRON AUX ADJ,4,False
Um accent I I think is I think it depends on who's listening cause I think American tell me I sound more British but then British and Australians tell me I sound more American,E34,English,INTJ ADJ PRON PRON VERB AUX PRON VERB PRON VERB ADP PRON AUX VERB NOUN PRON VERB PROPN VERB PRON PRON VERB ADV ADJ CCONJ ADV ADJ CCONJ PROPN VERB PRON PRON VERB ADV ADJ,35,False
So it's a bit of a mixture but tending towards the more American side,E14,English,ADV PRON AUX DET NOUN ADP DET NOUN CCONJ VERB ADP DET ADV ADJ NOUN,15,False
Probably too much Youtube,E4,English,ADV ADV ADJ NOUN,4,False
Youtube Netflix yeah I think so,E6,English,PROPN PROPN INTJ PRON VERB ADV,6,False
Yeah I don't know why but we all speak like this at school so not sure,E16,English,INTJ PRON AUX PART VERB SCONJ CCONJ PRON PRON VERB ADP PRON ADP NOUN ADV PART ADJ,17,False
They speak like this,E4,English,PRON VERB ADP PRON,4,False
Yeah yeah yeah yeah like me yeah,E7,English,INTJ INTJ INTJ INTJ INTJ PRON INTJ,7,False
Um and in terms of choice of vocabulary I just choose whatever like is easier to say,E17,English,INTJ CCONJ ADP NOUN ADP NOUN ADP NOUN PRON ADV VERB DET SCONJ AUX ADJ PART VERB,17,False
Like for example um like aluminium sounds better than aluminum for me so I say aluminum,E16,English,INTJ ADP NOUN INTJ ADP NOUN VERB ADJ ADP NOUN ADP PRON ADV PRON VERB NOUN,16,False
Aluminium sorry,E2,English,PROPN ADJ,2,False
Um but in terms of like,E6,English,INTJ CCONJ ADP NOUN ADP INTJ,6,False
But lift like what I think what the British say like crisp which is really hard to say for me so I just say chips,E25,English,CCONJ VERB ADP PRON PRON VERB PRON DET PROPN VERB INTJ ADJ PRON AUX ADV ADJ PART VERB ADP PRON ADV PRON ADV VERB NOUN,25,False
And then I'll say things like ketchup instead of what tomato sauce tomato sauce that sort of thing,E18,English,CCONJ ADV PRON AUX VERB NOUN ADP NOUN ADV ADP PRON NOUN NOUN NOUN NOUN PRON NOUN ADP NOUN,19,False
It's kind of like a mixture,E6,English,PRON AUX ADV ADV ADP DET NOUN,7,False
It depends on who I hang out with depends on I think it also depends on who I picked up the vocabulary from,E23,English,PRON VERB ADP PRON PRON VERB ADP ADP VERB ADP PRON VERB PRON ADV VERB ADP PRON PRON VERB ADP DET NOUN ADP,23,False
Like if I heard it for the first time from an Australian I'll probably copy it like the like an Australian,E21,English,INTJ SCONJ PRON VERB PRON ADP DET ADJ NOUN ADP DET ADJ PRON AUX ADV VERB PRON ADP PRON ADP DET ADJ,22,False
Yeah I think um like from abroad as well,E9,English,INTJ PRON VERB INTJ INTJ ADP ADV ADV ADV,9,False
Like the,E2,English,ADP PRON,2,False
成個 鬼妹仔 咁 樣 你 係咪 浸 過 鹹水 like going abroad to yeah So like going abroad to yeah,C9-E11,Code-switched,ADV NOUN ADV NOUN PRON VERB VERB PART NOUN INTJ VERB ADV ADP INTJ ADV INTJ VERB ADV ADP INTJ,20,False
yeah So like going abroad to yeah,E7,English,INTJ ADV INTJ VERB ADV ADP INTJ,7,False
