sentence,pattern,num_matches,has_match,best_similarity,has_c_to_e,has_e_to_c,match_1_similarity,match_1_language,match_2_similarity,match_2_language,match_3_similarity,match_3_language
咁 中 係 囉 咁 politically 我 又 覺得 你 唔 需要 好 nationalistic 先可以 做 中國人 嘅 係 囉 係 嘞,C5-E1-C7-E1-C8,40,True,0.8571428571428572,True,True,0.8571428571428572,english,0.8571428571428572,english,0.8571428571428572,cantonese
我 諗 都 係 通常 對 我 嚟講 淨係 講 culture 囉 即係 你 有無 嗰個 嗰啲 觀念 啊 同埋 啲 behavior 囉 係 嘞,C10-E1-C10-E1-C3,40,True,0.8571428571428572,True,True,0.8571428571428572,cantonese,0.8333333333333334,cantonese,0.8333333333333334,cantonese
Uh 啲 A few words doesn't count I think,E1-C1-E7,20,True,0.8333333333333334,True,True,0.8333333333333334,english,0.8333333333333334,english,0.6666666666666667,english
Uh 潮州話 Like the dialect Yeah,E1-C1-E4,20,True,0.6666666666666667,True,True,0.6666666666666667,english,0.6666666666666667,english,0.6666666666666667,english
And my mom speaks 潮州話 as well,E4-C1-E2,20,True,0.8333333333333334,True,True,0.8333333333333334,cantonese,0.8333333333333334,cantonese,0.8333333333333334,cantonese
成個 鬼妹仔 咁 樣 你 係咪 浸 過 鹹水 like going abroad to yeah So like going abroad to yeah,C9-E11,10,True,0.7142857142857143,True,False,0.7142857142857143,english,0.7142857142857143,english,0.7142857142857143,english
哦 uh 係咪 去過 外國 讀書 呀 like usually it's like yeah curious about the background cause I don't sound Hong Kong Hong Kong,C1-E1-C5-E17,30,True,0.8,True,True,0.8,english,0.8,english,0.8,english
都 會 㗎 係 啊 係 啊 有時候 yeah,C8-E1,10,True,1.0,True,False,1.0,english,1.0,english,0.75,english
香港 係 香港 或者 eh So South of China 囉 即係 但係 其實 真係 都 係 都 香 香港 囉 係 囉 香港 囉 其實 I'm thinking 香港 廣州 definitely closer to 香港,C4-E5-C16-E2-C2-E3-C1,60,True,0.8,True,True,0.8,cantonese,0.8,cantonese,0.8,cantonese
Uh 口音 囉 同埋 用字 囉 即係 有時 feel 到 㗎,E1-C7-E1-C2,30,True,1.0,True,True,1.0,cantonese,1.0,cantonese,1.0,cantonese
即係 即係 譬如 如果 係 ABC 啦 咁 就 有啲 鬼 鬼 哋 嘅 口音 啦,C5-E1-C10,20,True,0.7142857142857143,True,True,0.7142857142857143,english,0.7142857142857143,cantonese,0.7142857142857143,cantonese
咁 如果 有時 係 啲 大陸 落嚟 嗰啲 即係 有啲 Mandarin accent 呢 就 會 都 係 有啲 口音 囉 譬如 可能 佢哋 講 一二 三 佢哋 會 一二 山 因為 佢 個 一二 三 係 無 即係 口 唔會 盒 埋 即係 聽到 囉,C10-E2-C33,20,True,0.7142857142857143,True,True,0.7142857142857143,english,0.7142857142857143,english,0.7142857142857143,english
譬如 佢哋 uh 我哋 話 禮拜六 日 啊 或者 佢哋 可能 會 講 週末 或者 即係 書面語 化 啲 囉 係 嘞,C2-E1-C19,20,True,0.8333333333333334,True,True,0.8333333333333334,english,0.8333333333333334,english,0.8333333333333334,english
我 個 感覺 就係 咁 囉 但係 可能 即係 through the conversation 就 留意 到 咁 樣 囉 係 嘞,C9-E3-C8,20,True,0.7142857142857143,True,True,0.7142857142857143,english,0.7142857142857143,english,0.7142857142857143,english
Uh 香港 口音 就可以,E1-C3,10,True,0.75,False,True,0.75,cantonese,0.75,cantonese,0.75,cantonese
但係 如果 係 international school 好似 我 咁 就 未必 得 囉 即可 能 都 覺得 係 美國人 囉,C3-E2-C14,20,True,0.8571428571428572,True,True,0.8571428571428572,cantonese,0.8571428571428572,cantonese,0.7142857142857143,english
其實 都 唔係 嘅 因為 香港 好多 expat,C7-E1,10,True,0.75,True,False,0.75,english,0.75,english,0.75,english
即係 嗰啲 外國人 喺度 做嘢 啦 或者 好多 其實 啲 eh 南亞 裔 人 呀 係 嘞 咁 佢哋 住 喺度 譬如 仔女 喺度 出世 嘅 咁 基本上 成世 都 喺度 長大 呀 但 可能 佢哋 即係 返學 又 國際學校 啦 又 未必 真係 講 廣東話 無講 得 咁多 但 佢哋 其實 都,C10-E1-C42,20,True,0.7142857142857143,True,True,0.7142857142857143,cantonese,0.5714285714285714,english,0.5714285714285714,english
講 廣東話 無講 得 咁多 但 佢哋 其實 都 technically 係 香港人,C9-E1-C2,20,True,1.0,True,True,1.0,cantonese,1.0,cantonese,1.0,cantonese
但 就 唔係 話 好 mm 都 算 係 囉 我 覺得,C5-E1-C6,20,True,0.8571428571428572,True,True,0.8571428571428572,cantonese,0.8571428571428572,cantonese,0.7142857142857143,cantonese
Umm 佢 嘅 作用 呀 都,E1-C5,10,True,1.0,False,True,1.0,cantonese,1.0,cantonese,1.0,cantonese
即係 都 即係 我哋 嘅 身分 好多 都 會 係 屋企人 或者 爸爸 媽媽 啊 或者 啲 親戚 朋友 啊 嚟 即係 develop 𠺢嘛 咁 你 我 要 識 廣東話 可以 同 佢哋 溝通 先可以 develop 呢個 identity 咁 樣 係 喇,C22-E1-C12-E1-C1-E1-C4,60,True,0.8571428571428572,True,True,0.8571428571428572,cantonese,0.8571428571428572,cantonese,0.7142857142857143,english
咁 in terms of 呢個 即係 interpersonal relationship 喇 in terms of self 呢 即係 你 要 有 個 字 先可以 describe 到 你 嗰種 feeling 所以 我 覺得 係 囉 我 覺得 廣東話,C1-E3-C2-E2-C1-E4-C8-E1-C3-E1-C8,100,True,1.0,True,True,1.0,english,1.0,english,1.0,english
或者 啲 嬲 啊 嗰啲 就 即係 嬲 人 又 好似 多 啲 方法 咁 樣 就 yeah so there's more,C17-E4,10,True,0.7142857142857143,True,False,0.7142857142857143,english,0.7142857142857143,english,0.7142857142857143,english
佢 嗰個 樣 啊 嘛 即係 我 覺得 用 即係 英文 嚟 你 去 angry 啊 frustrated 啊 嗰啲 啦,C14-E1-C1-E1-C3,40,True,0.7142857142857143,True,True,0.7142857142857143,english,0.7142857142857143,english,0.7142857142857143,english
Like you know how 香 Cantonese is 得 and 唔 得,E4-C1-E2-C1-E1-C2,50,True,1.0,True,True,1.0,cantonese,0.8,cantonese,0.8,cantonese
Like the 唔 is very quiet sometimes so you can't hear it so you have to switch to English yes or no like can or cannot it's like clearer to hear,E2-C1-E28,20,True,0.7142857142857143,True,True,0.7142857142857143,english,0.7142857142857143,english,0.7142857142857143,english
eh 讀緊 書,E1-C2,10,True,1.0,False,True,1.0,cantonese,0.6666666666666667,cantonese,0.6666666666666667,cantonese
eh 讀緊 linguistics,E1-C1-E1,19,True,0.6666666666666667,True,True,0.6666666666666667,cantonese,0.6666666666666667,cantonese,0.6666666666666667,cantonese
eh 佢 係 mainland 度 出世 跟住 之後 先 去 香港,E1-C2-E1-C7,30,True,0.8,True,True,0.8,cantonese,0.8,cantonese,0.8,cantonese
全部 都 係 mainland,C3-E1,10,True,1.0,True,False,1.0,english,1.0,english,1.0,english
eh 好 細 過 即係 可能 講緊 三 歲 之前 可能 有 mainland 有 住 過 但係 唔係 好 肯定 幾耐 但 之後 三 歲 打 後 大部分 時間,E1-C11-E1-C16,30,True,0.8,True,True,0.8,cantonese,0.8,cantonese,0.8,cantonese
eh 一直 都 係 喺 香港 返,E1-C6,10,True,0.8,False,True,0.8,cantonese,0.8,cantonese,0.8,cantonese
eh 都 係 local 但係,E1-C2-E1-C1,30,True,1.0,True,True,1.0,cantonese,0.8,cantonese,0.8,english
eh 中學 係 一 間 即係,E1-C5,10,True,0.8,False,True,0.8,cantonese,0.8,cantonese,0.8,cantonese
英文 教書 嘅 學校 但係 就 唔係 international,C7-E1,10,True,1.0,True,False,1.0,english,1.0,english,1.0,english
uh huh 無,E2-C1,5,True,0.6666666666666667,False,True,0.6666666666666667,cantonese,0.6666666666666667,cantonese,0.6666666666666667,cantonese
eh 比較 似 嗰啲 民間 信仰 多 即係 可能 會 拜 下 神 嗰啲 但係 唔係 exactly 例如 佛教徒 唔係 嗰啲 嘅 就,E1-C15-E1-C6,30,True,0.8,True,True,0.8,cantonese,0.8,cantonese,0.8,cantonese
我 應該 嘅 eh 無 啦 即係 可能 係 有啲,C3-E1-C6,20,True,0.7142857142857143,True,True,0.7142857142857143,english,0.7142857142857143,english,0.7142857142857143,english
比較 Ritual 啲 啊 可能 eh 要 要 大 啲 先有 嗰啲 即係 會 有 呢啲 習俗,C1-E1-C3-E1-C11,40,True,0.8,True,True,0.8,english,0.8,english,0.8,english
但係 eh,C1-E1,10,True,1.0,True,False,1.0,english,1.0,english,1.0,english
真係 好 religious 來講 可能 要 講 即係 小學 同 中學 佢 係 即係 我 係 送 咗 去,C2-E1-C16,20,True,0.7142857142857143,True,True,0.7142857142857143,cantonese,0.7142857142857143,cantonese,0.7142857142857143,cantonese
咁 小學 係 基督教 跟住 中學 係 天主教 但係 無 話 好 要求 一定要 eh 你 去 信教 定係 乜嘢 嘢 純粹 係 覺得 即係 可能,C14-E1-C11,20,True,0.7142857142857143,True,True,0.7142857142857143,english,0.7142857142857143,english,0.7142857142857143,english
有 宗教學 校 可能 嗰個 reputation 比較 好 啲 囉 咁 樣,C5-E1-C6,20,True,0.7142857142857143,True,True,0.7142857142857143,english,0.7142857142857143,english,0.7142857142857143,english
emm 我 覺得 我 對於 即係,E1-C5,10,True,0.8,False,True,0.8,cantonese,0.8,cantonese,0.8,cantonese
另外 嗰啲 個 connection 無咁 深 囉 即係,C3-E1-C4,20,True,0.7142857142857143,True,True,0.7142857142857143,english,0.7142857142857143,english,0.7142857142857143,english
eh 雖然 可能 係 有啲 law 啊 又 或者 乜嘢 啊 規定 咗 you are part of this 但係,E1-C4-E1-C7-E5-C1,50,True,1.0,True,True,1.0,cantonese,1.0,cantonese,1.0,cantonese
或者 係 你 個 belonging sense of belonging 嗰啲 嘢 唔係 eh,C4-E4-C3-E1,30,True,1.0,True,True,1.0,english,1.0,english,0.75,english
嗰啲 law and order 可以 可以 夾硬 就 晝 話 你 你 有囉 即係 呢 樣 好睇 嗰個 feeling 而 我 覺得 eh,C1-E3-C14-E1-C3-E1,50,True,1.0,True,True,1.0,english,1.0,english,1.0,english
即係 呢個 city 呢個 地方 對於 我 嚟講 嗰個 感受 大 喎 成個 國家,C2-E1-C11,20,True,0.8333333333333334,True,True,0.8333333333333334,english,0.8333333333333334,english,0.8333333333333334,english
但係 我 覺得 eh 嗰個,C3-E1-C1,20,True,1.0,True,True,1.0,english,1.0,english,1.0,english
可能 mainland 落嚟 嗰啲 比例 越來越多,C1-E1-C4,20,True,0.8333333333333334,True,True,0.8333333333333334,cantonese,0.8333333333333334,cantonese,0.8333333333333334,cantonese
都 係 local 多,C2-E1-C1,20,True,0.75,True,True,0.75,english,0.75,english,0.75,english
有 可能 間唔中 一兩個 即係 可能 同班 係 有 一個 例如 eh,C11-E1,10,True,0.75,True,False,0.75,english,0.75,english,0.75,english
好 tricky 喔,C1-E1-C1,20,True,1.0,True,True,1.0,english,1.0,cantonese,1.0,cantonese
但係 我 覺得 eh 係 用,C3-E1-C2,20,True,0.8333333333333334,True,True,0.8333333333333334,english,0.8333333333333334,english,0.8333333333333334,english
例如 鍾意 呢 一度 你 對 呢度 發生 嘅 事 你 會 唔會 即係 聽 完 之後 你 會 好 有情 緒 好 有 感慨 定係 你 聽 完 係 覺得 emm 唔係 好 關 自己 事 嘅 噉樣 我 反而 係 個,C31-E1-C11,20,True,0.8571428571428572,True,True,0.8571428571428572,cantonese,0.8571428571428572,cantonese,0.8571428571428572,cantonese
唔係 好 關 自己 事 嘅 噉樣 我 反而 係 個 birth place 唔係 咁 重要,C11-E2-C3,20,True,0.8333333333333334,True,True,0.8333333333333334,cantonese,0.8333333333333334,cantonese,0.8333333333333334,cantonese
即係 等於 可能 就算 唔係 呢度 出世 嘅 我 覺得 你 eh 如果 係,C11-E1-C2,20,True,0.8333333333333334,True,True,0.8333333333333334,english,0.8333333333333334,english,0.8333333333333334,english
emm 我 覺得 呢個 係 一個 即係 比較 有 大 啲 correlation,E1-C10-E1,20,True,0.8,True,True,0.8,cantonese,0.8,cantonese,0.8,cantonese
可能 要睇 下 佢 嗰個 感情 係 即係 點樣 培養 出來 嘅 即係 可能 係 eh 佢 一直 身處 係 可能 外國 有啲 eheh 香港 community 啊,C15-E1-C7-E1-C1-E1-C1,60,True,0.8,True,True,0.8,english,0.75,cantonese,0.75,cantonese
咁 佢 嗰個 eh,C3-E1,10,True,1.0,True,False,1.0,english,0.75,english,0.75,english
但係 如果 唔係 住 喺度 啊 咁 可能 有多 樣嘢 諗 就係 佢 所 鍾意 又 或者 佢 所 認識 嘅 個 嗰 香港 究竟 係咪 真係 同 reality 入邊 嗰個 情況 一樣,C28-E1-C4,20,True,0.7142857142857143,True,True,0.7142857142857143,english,0.7142857142857143,english,0.7142857142857143,english
層面 即係 可能 係 eh,C4-E1,10,True,0.75,True,False,0.75,english,0.75,english,0.75,english
ruling 即係 個 沓 本質 嘅 嗰啲 政權 又 或者 係 嗰個 國家 本身 個 文化 本身 啊,E1-C17,10,True,0.8,False,True,0.8,cantonese,0.8,cantonese,0.8,cantonese
叫 自己 做 let's say 美國人,C3-E2-C1,20,True,1.0,True,True,1.0,cantonese,1.0,cantonese,1.0,cantonese
y 你 係 鍾意 嗰個 地方 嘅 文化 多 啲 囉,E1-C10,10,True,1.0,False,True,1.0,cantonese,0.8,cantonese,0.8,cantonese
即係 而 唔係 啊 可能 我 覺得 哇 佢 嗰度 eh(x 正 啊 福利 正 就 會 叫 自己 做 真係 美國人 噉樣,C10-E1-C12,20,True,0.7142857142857143,True,True,0.7142857142857143,cantonese,0.7142857142857143,cantonese,0.7142857142857143,cantonese
人 點樣 Identity 自己 sexuality 噉樣,C2-E1-C1-E1-C1,40,True,1.0,True,True,1.0,english,1.0,english,1.0,cantonese
即係 如果 你 覺得 自己 可能 係 eh,C7-E1,10,True,1.0,True,False,1.0,english,1.0,english,1.0,english
eh 如果 你 佢 覺得 自己 係 eh,E1-C6-E1,20,True,1.0,True,True,1.0,english,1.0,english,1.0,english
即係 都 無問題 我 覺得 睇 你 自己 點樣 identify,C9-E1,10,True,1.0,True,False,1.0,english,1.0,english,1.0,english
eh 我 識聽 四川 話,E1-C4,10,True,0.8,False,True,0.8,cantonese,0.8,cantonese,0.8,cantonese
eh 廣東話 就 應該 係 日常 嗰啲 生活 交流 啊,E1-C9,10,True,0.8,False,True,0.8,cantonese,0.8,cantonese,0.8,cantonese
九成 時間 即係 對 住 local 啊 即係 識講 即係 對方 識講,C5-E1-C6,20,True,0.5714285714285714,True,True,0.5714285714285714,english,0.5714285714285714,english,0.5714285714285714,english
通常 係 會 可能 reading 同 writing 多 啲 囉 即係 例如 喺 學校 assignment 嗰啲,C4-E1-C1-E1-C7-E1-C1,60,True,1.0,True,True,1.0,english,1.0,english,1.0,cantonese
eh courses 啊 嗰啲 就 會 用 多 啲 英文 囉,E2-C9,10,True,0.6666666666666667,False,True,0.6666666666666667,cantonese,0.6666666666666667,cantonese,0.6666666666666667,cantonese
跟住 普通話 就 可能 係 有時 啲 中文 course 啊 又 或者 對方 係,C8-E1-C5,20,True,0.7142857142857143,True,True,0.7142857142857143,cantonese,0.5714285714285714,english,0.5714285714285714,english
eh 嗰啲 mainland 嘅 學生 啊,E1-C1-E1-C3,30,True,0.8333333333333334,True,True,0.8333333333333334,english,0.8333333333333334,english,0.8333333333333334,cantonese
咁 就 會 用返 普通話 又 或者 係 囉 mainland professor,C9-E2,10,True,0.6,True,False,0.6,english,0.6,english,0.6,english
eh 四川 話 我 唔 識講 其實 即係 就 淨係 識得 聽,E1-C11,10,True,0.8,False,True,0.8,cantonese,0.8,cantonese,0.8,cantonese
eh 我 阿媽 講 四川 話 但係 我 老竇 佢 唔係 四川人,E1-C11,10,True,0.8,False,True,0.8,cantonese,0.8,cantonese,0.6,cantonese
eh 我 阿媽 識講 廣東話 嘅,E1-C5,10,True,0.8,False,True,0.8,cantonese,0.8,cantonese,0.8,cantonese
不過 就 可能 嗰個 fluency 啊 嗰個 proficiency 無 無咁 高 啦,C4-E1-C2-E1-C4,40,True,0.8571428571428572,True,True,0.8571428571428572,english,0.8571428571428572,english,0.8571428571428572,cantonese
佢 普通話 都 okay 嘅,C3-E1-C1,20,True,0.8,True,True,0.8,english,0.8,english,0.75,cantonese
係 啦 跟住 仲有 四川 話 佢 native language 咁,C7-E2-C1,20,True,1.0,True,True,1.0,cantonese,1.0,cantonese,1.0,cantonese
個 fluency 好 啲 但係,C1-E1-C3,20,True,1.0,True,True,1.0,cantonese,0.8,cantonese,0.8,cantonese
英文 都 即係 有 Basic Level 啦,C4-E2-C1,20,True,1.0,True,True,1.0,cantonese,1.0,cantonese,1.0,cantonese
跟住 eh 普通話 都 係 okay,C1-E1-C3-E1,30,True,1.0,True,True,1.0,english,1.0,english,1.0,english
然後 佢 講 電話 係 佢 嘅 native language,C7-E2,10,True,0.8,True,False,0.8,english,0.8,english,0.8,english
emm 首先 我 會 唔會 有 小朋友 都 係 個 問題,E1-C10,10,True,0.8,False,True,0.8,cantonese,0.8,cantonese,0.8,cantonese
emm 我 覺得 都 okay 因為 即係 你 當 你 嘅 mother tongue 係 Cantonese 嘅 時候 咁 你 講 英文 你 即 點 都 會 有 佢 嗰個 accent 嘅 影響,E1-C3-E1-C6-E2-C1-E1-C14-E1-C2,90,True,0.8571428571428572,True,True,0.8571428571428572,cantonese,0.8333333333333334,english,0.8333333333333334,english
但係 如果 你 話 去到 即係 好 重 好 重 嗰啲 eh,C11-E1,10,True,0.75,True,False,0.75,english,0.75,english,0.75,english
eh British English 啊 又 或者 係 American 嗰啲 即係 大家 會 有 自己 嘅 口音 但係 就 但係,E3-C4-E1-C11,30,True,0.7142857142857143,True,True,0.7142857142857143,cantonese,0.5714285714285714,cantonese,0.5714285714285714,cantonese
可能 有時 有啲 人 覺得 即係 英文 係 比較 superior 嘅,C9-E1-C1,20,True,1.0,True,True,1.0,cantonese,1.0,cantonese,1.0,cantonese
覺得 出現 咗 Cantonese accents 就 會 令到 你,C3-E2-C4,20,True,0.7142857142857143,True,True,0.7142857142857143,english,0.7142857142857143,cantonese,0.7142857142857143,cantonese
成個 語言 即係 英文 無咁 superior 嘅 咁 可能 有啲 咁 嘅 bad feeling,C5-E1-C6-E2,30,True,0.7142857142857143,True,True,0.7142857142857143,cantonese,0.7142857142857143,cantonese,0.6,english
eh 有 嘅,E1-C2,10,True,1.0,False,True,1.0,cantonese,1.0,cantonese,1.0,cantonese
因為 我 有 friend 佢 係 好,C3-E1-C3,20,True,0.8571428571428572,True,True,0.8571428571428572,english,0.8333333333333334,cantonese,0.8333333333333334,cantonese
eh American 嗰啲 即係 嗰啲 卷 脷 好 足 嘅 嗰啲 啦,E2-C10,10,True,0.6666666666666667,False,True,0.6666666666666667,cantonese,0.6666666666666667,cantonese,0.6666666666666667,cantonese
咁 我 就 講嘢 比較 偏 懶 嘅 即係 我 我 又 唔係 話 即係 specifically 跟 邊隻 accent 好 鍾意 自己 係 講嘢,C15-E1-C2-E1-C5,40,True,0.8571428571428572,True,True,0.8571428571428572,cantonese,0.8571428571428572,cantonese,0.8571428571428572,cantonese
但係 eh 有少少 受到 British 嘅 inspire,C1-E1-C2-E1-C1-E1,50,True,0.8333333333333334,True,True,0.8333333333333334,cantonese,0.8,english,0.8,cantonese
即係 有牌 好 鍾意 睇 嗰啲 British 嘅 跟住 佢 就 會 覺得 啊 你 你 講嘢 好似 British 啊,C6-E1-C11-E1-C1,40,True,0.8571428571428572,True,True,0.8571428571428572,cantonese,0.8571428571428572,cantonese,0.8571428571428572,cantonese
無 話 exactly 係 咩,C2-E1-C2,20,True,1.0,True,True,1.0,cantonese,1.0,cantonese,0.8,english
同埋 係 其實 都 幾 難聽 即係 difficult to to identify 即係 difficult to 去 去 聽 得 明 我 講乜 嘢 因為 我 有時 真係 講得 幾 下,C7-E4-C1-E2-C15,40,True,0.7142857142857143,True,True,0.7142857142857143,english,0.7142857142857143,english,0.7142857142857143,english
