original,cleaned,annotation_text_before,annotation_text_after
到 啲 共 通 嘅 特 點 啦 即 如 果 你 講 而 家 — —,到 啲 共通 嘅 特點 啦 即如 果 你 講 而家,"即 譬 如 有 啲 文 化 好 唔 同 嘅 嘅 群 體 , 咁 譬 如 譬 如 維 吾 爾 人 或 者 西 藏 人 咁 佢 都 會 話 係 中 國 人 嘅 話 咁 就 好 難 有 啲 好 難 搵 到 啲 共 通 嘅 特 點 啦 即 如 果 你 講 而 家 — —",即 譬如 有啲 文化 好 唔同 嘅 嘅 群 體 咁 譬如 譬如 維吾爾人 或者 西藏人 咁 佢 都 會話 係 中國人 嘅話 咁 就 好 難 有啲 好 難搵 到 啲 共通 嘅 特點 啦 即如 果 你 講 而家
或 者 可 能 — —,或者 可能,或 者 可 能 — —,或者 可能
或 者 可 能 — —,或者 可能,或 者 可 能 — —,或者 可能
"因 為 因 爲 即 因 爲 因 為 佢 哋 , 即 我 諗 — — 譬 如 我 同 我 屋 企 人 講 嘢 啫 同 我 爸",因為 因爲 即 因爲 因為 佢哋 即 我 諗 譬如 我 同 我 屋企人 講嘢 啫 同 我 爸,"係 囉 即 因 為 因 爲 即 因 爲 因 為 佢 哋 , 即 我 諗 — — 譬 如 我 同 我 屋 企 人 講 嘢 啫 同 我 爸 爸 講 嘢 嘅 時 候 就 有 時 會",係 囉 即 因為 因爲 即 因爲 因為 佢哋 即 我 諗 譬如 我 同 我 屋企人 講嘢 啫 同 我 爸爸 講嘢 嘅 時候 就 有時 會
"因 為 因 爲 即 因 爲 因 為 佢 哋 , 即 我 諗 — — 譬 如 我 同 我 屋 企 人 講 嘢 啫 同 我 爸",因為 因爲 即 因爲 因為 佢哋 即 我 諗 譬如 我 同 我 屋企人 講嘢 啫 同 我 爸,"係 囉 即 因 為 因 爲 即 因 爲 因 為 佢 哋 , 即 我 諗 — — 譬 如 我 同 我 屋 企 人 講 嘢 啫 同 我 爸 爸 講 嘢 嘅 時 候 就 有 時 會",係 囉 即 因為 因爲 即 因爲 因為 佢哋 即 我 諗 譬如 我 同 我 屋企人 講嘢 啫 同 我 爸爸 講嘢 嘅 時候 就 有時 會
所 以 都 好 難 有 啲 好 共 同 嘅 — —,所以 都 好 難 有啲 好 共同 嘅,所 以 都 好 難 有 啲 好 共 同 嘅 — —,所以 都 好 難 有啲 好 共同 嘅
所 以 都 好 難 有 啲 好 共 同 嘅 — —,所以 都 好 難 有啲 好 共同 嘅,所 以 都 好 難 有 啲 好 共 同 嘅 — —,所以 都 好 難 有啲 好 共同 嘅
我 覺 得 係 囉 就 比 較 難 去 講 話 要 點 樣 — —,我 覺得 係 囉 就 比較 難 去 講話 要點 樣,咁 我 覺 得 係 囉 就 比 較 難 去 講 話 要 點 樣 — —,咁 我 覺得 係 囉 就 比較 難 去 講話 要點 樣
我 覺 得 係 囉 就 比 較 難 去 講 話 要 點 樣 — —,我 覺得 係 囉 就 比較 難 去 講話 要點 樣,咁 我 覺 得 係 囉 就 比 較 難 去 講 話 要 點 樣 — —,咁 我 覺得 係 囉 就 比較 難 去 講話 要點 樣
係 但 係 我 想 問 你 轉 咗 嘅 意 思 係 即 係 — —,係 但係 我 想 問 你 轉 咗 嘅 意思 係 即係,唔 係 但 係 我 想 問 你 轉 咗 嘅 意 思 係 即 係 — —,唔係 但係 我 想 問 你 轉 咗 嘅 意思 係 即係
係 但 係 我 想 問 你 轉 咗 嘅 意 思 係 即 係 — —,係 但係 我 想 問 你 轉 咗 嘅 意思 係 即係,唔 係 但 係 我 想 問 你 轉 咗 嘅 意 思 係 即 係 — —,唔係 但係 我 想 問 你 轉 咗 嘅 意思 係 即係
唔 係 你 啱 先 — —,唔係 你 啱先,唔 係 你 啱 先 — —,唔係 你 啱先
唔 係 你 啱 先 — —,唔係 你 啱先,唔 係 你 啱 先 — —,唔係 你 啱先
同 呢 — — 即 係 可 能 同 自 己 大 學 啲,同 呢 即係 可能 同 自己 大學 啲,同 呢 — — 即 係 可 能 同 自 己 大 學 啲,同 呢 即係 可能 同 自己 大學 啲
同 呢 — — 即 係 可 能 同 自 己 大 學 啲,同 呢 即係 可能 同 自己 大學 啲,同 呢 — — 即 係 可 能 同 自 己 大 學 啲,同 呢 即係 可能 同 自己 大學 啲
常 生 活 即 係 九 成 都 係 講 廣 東 話 嘅 咁 — —,常 生活 即係 九成 都 係 講 廣東話 嘅 咁,"咁 , 係 囉 即 係 日 常 生 活 即 係 九 成 都 係 講 廣 東 話 嘅 咁 — —",咁 係 囉 即係 日常生活 即係 九成 都 係 講 廣東話 嘅 咁
常 生 活 即 係 九 成 都 係 講 廣 東 話 嘅 咁 — —,常 生活 即係 九成 都 係 講 廣東話 嘅 咁,"咁 , 係 囉 即 係 日 常 生 活 即 係 九 成 都 係 講 廣 東 話 嘅 咁 — —",咁 係 囉 即係 日常生活 即係 九成 都 係 講 廣東話 嘅 咁
"可 , 有 , 可 能 會 — —",可 有 可能 會,"可 , 有 , 可 能 會 — —",可 有 可能 會
"可 , 有 , 可 能 會 — —",可 有 可能 會,"可 , 有 , 可 能 會 — —",可 有 可能 會
"即 個 家 庭 係 香 港 去 嘅 咁 樣 , 或 者 佢 — —",即 個 家庭 係 香港 去 嘅 咁 樣 或者 佢,"阿 爸 即 個 家 庭 係 香 港 去 嘅 咁 樣 , 或 者 佢 — —",阿爸 即 個 家庭 係 香港 去 嘅 咁 樣 或者 佢
"即 個 家 庭 係 香 港 去 嘅 咁 樣 , 或 者 佢 — —",即 個 家庭 係 香港 去 嘅 咁 樣 或者 佢,"阿 爸 即 個 家 庭 係 香 港 去 嘅 咁 樣 , 或 者 佢 — —",阿爸 即 個 家庭 係 香港 去 嘅 咁 樣 或者 佢
會 — — 即 係 我 諗 大 多 數 香 港 人 都 會 即 係,會 即係 我 諗 大多數 香港人 都 會 即係,會 — — 即 係 我 諗 大 多 數 香 港 人 都 會 即 係 如 果,會 即係 我 諗 大多數 香港人 都 會 即係 如果
會 — — 即 係 我 諗 大 多 數 香 港 人 都 會 即 係,會 即係 我 諗 大多數 香港人 都 會 即係,會 — — 即 係 我 諗 大 多 數 香 港 人 都 會 即 係 如 果,會 即係 我 諗 大多數 香港人 都 會 即係 如果
我 覺 得 — —,我 覺得,我 覺 得 — —,我 覺得
我 覺 得 — —,我 覺得,我 覺 得 — —,我 覺得
都 計 係 唔 係 即 係 — — 即 係 好 似 話 啱 先 都,都 計 係唔係 即係 即係 好似 話 啱先 都,都 計 係 唔 係 即 係 — — 即 係 好 似 話 啱 先 都,都 計 係唔係 即係 即係 好似 話 啱先 都
都 計 係 唔 係 即 係 — — 即 係 好 似 話 啱 先 都,都 計 係唔係 即係 即係 好似 話 啱先 都,都 計 係 唔 係 即 係 — — 即 係 好 似 話 啱 先 都,都 計 係唔係 即係 即係 好似 話 啱先 都
即 可 能 可 能 會 崇 尚 自 由 呀 或 者 — —,即可 能 可能 會 崇尚 自由 呀 或者,即 可 能 可 能 會 崇 尚 自 由 呀 或 者 — —,即可 能 可能 會 崇尚 自由 呀 或者
即 可 能 可 能 會 崇 尚 自 由 呀 或 者 — —,即可 能 可能 會 崇尚 自由 呀 或者,即 可 能 可 能 會 崇 尚 自 由 呀 或 者 — —,即可 能 可能 會 崇尚 自由 呀 或者
咁 — — 係 囉 啫 大 多 數 都 會 大 多 數 人 都 會,咁 係 囉 啫 大多數 都 會 大多數 人 都 會,咁 — — 係 囉 啫 大 多 數 都 會 大 多 數 人 都 會 或 多 或 少 有 啲 — — 即 係 會,咁 係 囉 啫 大多數 都 會 大多數 人 都 會 或多或少 有啲 即係 會
咁 — — 係 囉 啫 大 多 數 都 會 大 多 數 人 都 會,咁 係 囉 啫 大多數 都 會 大多數 人 都 會,咁 — — 係 囉 啫 大 多 數 都 會 大 多 數 人 都 會 或 多 或 少 有 啲 — — 即 係 會,咁 係 囉 啫 大多數 都 會 大多數 人 都 會 或多或少 有啲 即係 會
咁 — — 係 囉 啫 大 多 數 都 會 大 多 數 人 都 會,咁 係 囉 啫 大多數 都 會 大多數 人 都 會,咁 — — 係 囉 啫 大 多 數 都 會 大 多 數 人 都 會 或 多 或 少 有 啲 — — 即 係 會,咁 係 囉 啫 大多數 都 會 大多數 人 都 會 或多或少 有啲 即係 會
咁 — — 係 囉 啫 大 多 數 都 會 大 多 數 人 都 會,咁 係 囉 啫 大多數 都 會 大多數 人 都 會,咁 — — 係 囉 啫 大 多 數 都 會 大 多 數 人 都 會 或 多 或 少 有 啲 — — 即 係 會,咁 係 囉 啫 大多數 都 會 大多數 人 都 會 或多或少 有啲 即係 會
— — 咁 可 能 兩 個 原 因 啦 就 係 第 一 可 能,咁 可能 兩 個 原因 啦 就係 第一 可能,"— — 咁 可 能 兩 個 原 因 啦 就 係 第 一 可 能 我 ,",咁 可能 兩 個 原因 啦 就係 第一 可能 我
— — 咁 可 能 兩 個 原 因 啦 就 係 第 一 可 能,咁 可能 兩 個 原因 啦 就係 第一 可能,"— — 咁 可 能 兩 個 原 因 啦 就 係 第 一 可 能 我 ,",咁 可能 兩 個 原因 啦 就係 第一 可能 我
唔 識 中 文 咁 我 更 加 唔 可 以 . 咁 但 係 — —,唔 識 中文 咁 我 更加 唔 可以 咁 但係,外 國 人 講 嘢 咁 樣 咁 咁 佢 哋 都 唔 識 中 文 咁 我 更 加 唔 可 以 . 咁 但 係 — —,外國人 講嘢 咁 樣 咁 咁 佢哋 都 唔 識 中文 咁 我 更加 唔 可以 咁 但係
唔 識 中 文 咁 我 更 加 唔 可 以 . 咁 但 係 — —,唔 識 中文 咁 我 更加 唔 可以 咁 但係,外 國 人 講 嘢 咁 樣 咁 咁 佢 哋 都 唔 識 中 文 咁 我 更 加 唔 可 以 . 咁 但 係 — —,外國人 講嘢 咁 樣 咁 咁 佢哋 都 唔 識 中文 咁 我 更加 唔 可以 咁 但係
嘅 話 咁 — —,嘅話 咁,嘅 話 咁 — —,嘅話 咁
嘅 話 咁 — —,嘅話 咁,嘅 話 咁 — —,嘅話 咁
唔 會 都 有 香 港 人 嘅 成 份 呢 就 好 睇 佢 — —,唔會 都 有 香港人 嘅 成份 呢 就 好睇 佢,"係 囉 , 咁 咁 就 無 容 置 疑 啦 係 美 國 人 就 . 咁 但 係 即 會 唔 會 都 有 香 港 人 嘅 成 份 呢 就 好 睇 佢 — —",係 囉 咁 咁 就 無容置疑 啦 係 美國人 就 咁 但係 即 會 唔會 都 有 香港人 嘅 成份 呢 就 好睇 佢
唔 會 都 有 香 港 人 嘅 成 份 呢 就 好 睇 佢 — —,唔會 都 有 香港人 嘅 成份 呢 就 好睇 佢,"係 囉 , 咁 咁 就 無 容 置 疑 啦 係 美 國 人 就 . 咁 但 係 即 會 唔 會 都 有 香 港 人 嘅 成 份 呢 就 好 睇 佢 — —",係 囉 咁 咁 就 無容置疑 啦 係 美國人 就 咁 但係 即 會 唔會 都 有 香港人 嘅 成份 呢 就 好睇 佢
"即 係 完 全 轉 咗 另 一 種 語 言 — — 即 係 我 講 緊 廣 東 話 跟 住 就 ,",即係 完全 轉 咗 另一 種 語言 即係 我 講緊 廣東話 跟住 就,"即 係 完 全 轉 咗 另 一 種 語 言 — — 即 係 我 講 緊 廣 東 話 跟 住 就 ,",即係 完全 轉 咗 另一 種 語言 即係 我 講緊 廣東話 跟住 就
"即 係 完 全 轉 咗 另 一 種 語 言 — — 即 係 我 講 緊 廣 東 話 跟 住 就 ,",即係 完全 轉 咗 另一 種 語言 即係 我 講緊 廣東話 跟住 就,"即 係 完 全 轉 咗 另 一 種 語 言 — — 即 係 我 講 緊 廣 東 話 跟 住 就 ,",即係 完全 轉 咗 另一 種 語言 即係 我 講緊 廣東話 跟住 就
"中 國 嘅 話 佢 佢 係 , 佢 係 用 — —",中國 嘅話 佢 佢 係 佢 係 用,"中 國 嘅 話 佢 佢 係 , 佢 係 用 — —",中國 嘅話 佢 佢 係 佢 係 用
"中 國 嘅 話 佢 佢 係 , 佢 係 用 — —",中國 嘅話 佢 佢 係 佢 係 用,"中 國 嘅 話 佢 佢 係 , 佢 係 用 — —",中國 嘅話 佢 佢 係 佢 係 用
"無 啦 , 係 囉 基 本 上 無 — — 唔 係 , 其 實 我 唔 係 如 果 你",無 啦 係 囉 基本上 無 唔係 其實 我 唔係 如果 你,"無 啦 , 係 囉 基 本 上 無 — — 唔 係 , 其 實 我 唔 係 如 果 你",無 啦 係 囉 基本上 無 唔係 其實 我 唔係 如果 你
"無 啦 , 係 囉 基 本 上 無 — — 唔 係 , 其 實 我 唔 係 如 果 你",無 啦 係 囉 基本上 無 唔係 其實 我 唔係 如果 你,"無 啦 , 係 囉 基 本 上 無 — — 唔 係 , 其 實 我 唔 係 如 果 你",無 啦 係 囉 基本上 無 唔係 其實 我 唔係 如果 你
可 能 有 啲 唔 同 嘅 可 能 我 — —,可能 有啲 唔同 嘅 可能 我,可 能 有 啲 唔 同 嘅 可 能 我 — —,可能 有啲 唔同 嘅 可能 我
可 能 有 啲 唔 同 嘅 可 能 我 — —,可能 有啲 唔同 嘅 可能 我,可 能 有 啲 唔 同 嘅 可 能 我 — —,可能 有啲 唔同 嘅 可能 我
"好 少 — — 即 係 無 乜 因 爲 ,",好 少 即係 無 乜 因爲,"好 少 — — 即 係 無 乜 因 爲 ,",好 少 即係 無 乜 因爲
"好 少 — — 即 係 無 乜 因 爲 ,",好 少 即係 無 乜 因爲,"好 少 — — 即 係 無 乜 因 爲 ,",好 少 即係 無 乜 因爲
"咗 落 中 文 度 啊 ,   定 係 我 用 中 – – 好 廣 東 話 式 嘅 英 文 – – – 唔 係 ,",咗 落 中文 度 啊 定係 我 用 中 好 廣東話 式 嘅 英文 唔係,"咗 落 中 文 度 啊 ,   定 係 我 用 中 – – 好 廣 東 話 式 嘅 英 文 – – – 唔 係 , 好 廣 東 話 式 嘅 文 法 去 講 英 文 .",咗 落 中文 度 啊 定係 我 用 中 好 廣東話 式 嘅 英文 唔係 好 廣東話 式 嘅 文法 去 講 英文
"咗 落 中 文 度 啊 ,   定 係 我 用 中 – – 好 廣 東 話 式 嘅 英 文 – – – 唔 係 ,",咗 落 中文 度 啊 定係 我 用 中 好 廣東話 式 嘅 英文 唔係,"咗 落 中 文 度 啊 ,   定 係 我 用 中 – – 好 廣 東 話 式 嘅 英 文 – – – 唔 係 , 好 廣 東 話 式 嘅 文 法 去 講 英 文 .",咗 落 中文 度 啊 定係 我 用 中 好 廣東話 式 嘅 英文 唔係 好 廣東話 式 嘅 文法 去 講 英文
"咗 落 中 文 度 啊 ,   定 係 我 用 中 – – 好 廣 東 話 式 嘅 英 文 – – – 唔 係 ,",咗 落 中文 度 啊 定係 我 用 中 好 廣東話 式 嘅 英文 唔係,"咗 落 中 文 度 啊 ,   定 係 我 用 中 – – 好 廣 東 話 式 嘅 英 文 – – – 唔 係 , 好 廣 東 話 式 嘅 文 法 去 講 英 文 .",咗 落 中文 度 啊 定係 我 用 中 好 廣東話 式 嘅 英文 唔係 好 廣東話 式 嘅 文法 去 講 英文
"咗 落 中 文 度 啊 ,   定 係 我 用 中 – – 好 廣 東 話 式 嘅 英 文 – – – 唔 係 ,",咗 落 中文 度 啊 定係 我 用 中 好 廣東話 式 嘅 英文 唔係,"咗 落 中 文 度 啊 ,   定 係 我 用 中 – – 好 廣 東 話 式 嘅 英 文 – – – 唔 係 , 好 廣 東 話 式 嘅 文 法 去 講 英 文 .",咗 落 中文 度 啊 定係 我 用 中 好 廣東話 式 嘅 英文 唔係 好 廣東話 式 嘅 文法 去 講 英文
"咗 落 中 文 度 啊 ,   定 係 我 用 中 – – 好 廣 東 話 式 嘅 英 文 – – – 唔 係 ,",咗 落 中文 度 啊 定係 我 用 中 好 廣東話 式 嘅 英文 唔係,"咗 落 中 文 度 啊 ,   定 係 我 用 中 – – 好 廣 東 話 式 嘅 英 文 – – – 唔 係 , 好 廣 東 話 式 嘅 文 法 去 講 英 文 .",咗 落 中文 度 啊 定係 我 用 中 好 廣東話 式 嘅 英文 唔係 好 廣東話 式 嘅 文法 去 講 英文
講 到 – –,講到,講 到 – –,講到
講 到 – –,講到,講 到 – –,講到
如 – – 大 概 應 該 可 能 係,如 大概 應該 可能 係,如 – – 大 概 應 該 可 能 係,如 大概 應該 可能 係
如 – – 大 概 應 該 可 能 係,如 大概 應該 可能 係,如 – – 大 概 應 該 可 能 係,如 大概 應該 可能 係
或 者 我 聽 唔 – – 聽 唔 明 你 講 咩 呢 個 會 有 嘅 .,或者 我 聽 唔 聽 唔 明 你 講咩 呢個 會 有 嘅,或 者 我 聽 唔 – – 聽 唔 明 你 講 咩 呢 個 會 有 嘅 .,或者 我 聽 唔 聽 唔 明 你 講咩 呢個 會 有 嘅
或 者 我 聽 唔 – – 聽 唔 明 你 講 咩 呢 個 會 有 嘅 .,或者 我 聽 唔 聽 唔 明 你 講咩 呢個 會 有 嘅,或 者 我 聽 唔 – – 聽 唔 明 你 講 咩 呢 個 會 有 嘅 .,或者 我 聽 唔 聽 唔 明 你 講咩 呢個 會 有 嘅
"實 無 或 邊 一 個 先 係 岩 㗎 嘛 . 因 為 佢 – – 拿 佢 本 身 係 個 台 灣 食 物 啦 , 咁 佢",實 無 或 邊一個 先 係 岩 㗎 嘛 因為 佢 拿 佢 本身 係 個 台灣 食物 啦 咁 佢,"呢 , 佢 會 叫 佢 做 芋 丸 咁 樣 樣 嘅 .   呢 , 佢 會 叫 佢 做 芋 丸 咁 樣 樣 嘅 .   咁 真 係 你 個 圓 同 埋 你 個 丸 . 咁 , 但 係 ,   其 實 無 或 邊 一 個 先 係 岩 㗎 嘛 . 因 為 佢 – – 拿 佢 本 身 係 個 台 灣 食 物 啦 , 咁 佢 係 講 普 通 話 架 嘛 . 咁 我 無 得 話 芋 圓 定 芋 丸 先 岩 既 .   咁 但 係 我 覺 得 呢 個 係",呢 佢 會 叫 佢 做 芋 丸 咁 樣樣 嘅 呢 佢 會 叫 佢 做 芋 丸 咁 樣樣 嘅 咁 真係 你 個 圓 同埋 你 個 丸 咁 但係 其實 無 或 邊一個 先 係 岩 㗎 嘛 因為 佢 拿 佢 本身 係 個 台灣 食物 啦 咁 佢 係 講 普通話 架 嘛 咁 我 無 得 話 芋圓 定 芋 丸 先 岩 既 咁 但係 我 覺得 呢個 係
"實 無 或 邊 一 個 先 係 岩 㗎 嘛 . 因 為 佢 – – 拿 佢 本 身 係 個 台 灣 食 物 啦 , 咁 佢",實 無 或 邊一個 先 係 岩 㗎 嘛 因為 佢 拿 佢 本身 係 個 台灣 食物 啦 咁 佢,"呢 , 佢 會 叫 佢 做 芋 丸 咁 樣 樣 嘅 .   呢 , 佢 會 叫 佢 做 芋 丸 咁 樣 樣 嘅 .   咁 真 係 你 個 圓 同 埋 你 個 丸 . 咁 , 但 係 ,   其 實 無 或 邊 一 個 先 係 岩 㗎 嘛 . 因 為 佢 – – 拿 佢 本 身 係 個 台 灣 食 物 啦 , 咁 佢 係 講 普 通 話 架 嘛 . 咁 我 無 得 話 芋 圓 定 芋 丸 先 岩 既 .   咁 但 係 我 覺 得 呢 個 係",呢 佢 會 叫 佢 做 芋 丸 咁 樣樣 嘅 呢 佢 會 叫 佢 做 芋 丸 咁 樣樣 嘅 咁 真係 你 個 圓 同埋 你 個 丸 咁 但係 其實 無 或 邊一個 先 係 岩 㗎 嘛 因為 佢 拿 佢 本身 係 個 台灣 食物 啦 咁 佢 係 講 普通話 架 嘛 咁 我 無 得 話 芋圓 定 芋 丸 先 岩 既 咁 但係 我 覺得 呢個 係
咁 所 以 我 就 係 分 唔 到 囉 . 啫 係 呢 – – 最 主 要 嘅 呢 兩 個 講 英 文 嘅 地 方 .,咁 所以 我 就係 分 唔 到 囉 啫 係 呢 最主要 嘅 呢 兩 個 講 英文 嘅 地方,咁 所 以 我 就 係 分 唔 到 囉 . 啫 係 呢 – – 最 主 要 嘅 呢 兩 個 講 英 文 嘅 地 方 . 咁 所 以 我 就 無 話 好 偏 向 係 乜 嘢 式 嘅 英 文 咁 樣 .,咁 所以 我 就係 分 唔 到 囉 啫 係 呢 最主要 嘅 呢 兩 個 講 英文 嘅 地方 咁 所以 我 就 無 話 好 偏向 係 乜嘢 式 嘅 英文 咁 樣
咁 所 以 我 就 係 分 唔 到 囉 . 啫 係 呢 – – 最 主 要 嘅 呢 兩 個 講 英 文 嘅 地 方 .,咁 所以 我 就係 分 唔 到 囉 啫 係 呢 最主要 嘅 呢 兩 個 講 英文 嘅 地方,咁 所 以 我 就 係 分 唔 到 囉 . 啫 係 呢 – – 最 主 要 嘅 呢 兩 個 講 英 文 嘅 地 方 . 咁 所 以 我 就 無 話 好 偏 向 係 乜 嘢 式 嘅 英 文 咁 樣 .,咁 所以 我 就係 分 唔 到 囉 啫 係 呢 最主要 嘅 呢 兩 個 講 英文 嘅 地方 咁 所以 我 就 無 話 好 偏向 係 乜嘢 式 嘅 英文 咁 樣
– –,,– –,
– –,,– –,
"同 – – 其 實 基 本 上 同 頭 先 嗰 啲 差 唔 多 ,",同 其實 基本上 同 頭先 嗰啲 差唔多,"同 – – 其 實 基 本 上 同 頭 先 嗰 啲 差 唔 多 ,",同 其實 基本上 同 頭先 嗰啲 差唔多
"同 – – 其 實 基 本 上 同 頭 先 嗰 啲 差 唔 多 ,",同 其實 基本上 同 頭先 嗰啲 差唔多,"同 – – 其 實 基 本 上 同 頭 先 嗰 啲 差 唔 多 ,",同 其實 基本上 同 頭先 嗰啲 差唔多
你 講 嘢 – – 講 英 文 點 解 會 講 到 咁 樣 樣 .,你 講嘢 講 英文 點解會 講到 咁 樣樣,你 講 嘢 – – 講 英 文 點 解 會 講 到 咁 樣 樣 .,你 講嘢 講 英文 點解會 講到 咁 樣樣
你 講 嘢 – – 講 英 文 點 解 會 講 到 咁 樣 樣 .,你 講嘢 講 英文 點解會 講到 咁 樣樣,你 講 嘢 – – 講 英 文 點 解 會 講 到 咁 樣 樣 .,你 講嘢 講 英文 點解會 講到 咁 樣樣
--,,都 係 自 然 嘅 一 個 - -   即 係 表 達 方 式 嚟 嘅 我 覺 得 .,都 係 自然 嘅 一個 即係 表達 方式 嚟 嘅 我 覺得
--,,哦 同 埋 我 諗 就 係 會 好 - -   好,哦 同埋 我 諗 就係 會 好 好
"我 = -   我 自 己 覺 得 啦 ,   佢 地 首 先 會 ,",我 我 自己 覺得 啦 佢 地 首先 會,"我 = -   我 自 己 覺 得 啦 ,   佢 地 首 先 會 ,",我 我 自己 覺得 啦 佢 地 首先 會
--,,有 啲 係 你 - -   我 都 係,有啲 係 你 我 都 係
--,,我 - -   我 - -   我 覺 得 我 分 到 嘅 .,我 我 我 覺得 我 分 到 嘅
--,,我 - -   我 - -   我 覺 得 我 分 到 嘅 .,我 我 我 覺得 我 分 到 嘅
--,,"即 係 可 能 你 而 家 ,   可 能 我 - -   我",即係 可能 你 而家 可能 我 我
--,,"但 係 如 果 你 話 要 - -   即 係 ,   如 果 你 話 要 再",但係 如果 你 話 要 即係 如果 你 話 要 再
--,,"因 為 有 時 響 外 國 啦 ,   旅 行 ,   你 會 - -   你 會 見 到 佢 係 ,   即 係",因為 有時 響 外國 啦 旅行 你 會 你 會見 到 佢 係 即係
--,,我 自 己 都 - -   我 覺 得 多,我 自己 都 我 覺得 多
--,,"普 通 話 我 識 呀 , 因 為 我 哋 - -   我 哋 小 學 ,   係 一 個 ,   即 係 佢 一 個 - -   一 個 - -   一 個",普通話 我 識 呀 因為 我哋 我哋 小學 係 一個 即係 佢 一個 一個 一個
--,,"普 通 話 我 識 呀 , 因 為 我 哋 - -   我 哋 小 學 ,   係 一 個 ,   即 係 佢 一 個 - -   一 個 - -   一 個",普通話 我 識 呀 因為 我哋 我哋 小學 係 一個 即係 佢 一個 一個 一個
--,,"普 通 話 我 識 呀 , 因 為 我 哋 - -   我 哋 小 學 ,   係 一 個 ,   即 係 佢 一 個 - -   一 個 - -   一 個",普通話 我 識 呀 因為 我哋 我哋 小學 係 一個 即係 佢 一個 一個 一個
--,,啊 你 - -   你 個 - -   你 個 - -   你 個,啊 你 你 個 你 個 你 個
