original,cleaned,annotation_text_before,annotation_text_after
"ike, underst-- uh, ",ike underst uh,"Um, probably like, underst-- uh, uh:: this is a deep question.",Um probably like underst uh uh this is a deep question
even like some--,even like some,"Uh, uh:: probably really all the time like when even like some--",Uh uh probably really all the time like when even like some
Yeah main-- yeah,Yeah main yeah,"Yeah main-- yeah some some of them and then got-- my supervisor is from Canada and then one of the web developer is like come from,
 um, Australia?",Yeah main yeah some some of them and then got my supervisor is from Canada and then one of the web developer is like come from um Australia
then got-- my s,then got my s,"Yeah main-- yeah some some of them and then got-- my supervisor is from Canada and then one of the web developer is like come from,
 um, Australia?",Yeah main yeah some some of them and then got my supervisor is from Canada and then one of the web developer is like come from um Australia
tart working--  and,tart working and,"It's pretty different especially when I start working--  and I work with people in the mainland the style is totally different like, it's probably they're like um, .. work slower and then like Hong Kong people work real fast.
",It's pretty different especially when I start working and I work with people in the mainland the style is totally different like it's probably they're like um work slower and then like Hong Kong people work real fast
tion when-- when,tion when when,"And I have to like, er:: using English as the medium of communication when-- when like I have some internation-- international students in-- in a study group and like-- and-- and at this-- this.",And I have to like er using English as the medium of communication when when like I have some internation international students in in a study group and like and and at this this
some internation-- inte,some internation inte,"And I have to like, er:: using English as the medium of communication when-- when like I have some internation-- international students in-- in a study group and like-- and-- and at this-- this.",And I have to like er using English as the medium of communication when when like I have some internation international students in in a study group and like and and at this this
ents in-- in a,ents in in a,"And I have to like, er:: using English as the medium of communication when-- when like I have some internation-- international students in-- in a study group and like-- and-- and at this-- this.",And I have to like er using English as the medium of communication when when like I have some internation international students in in a study group and like and and at this this
 and like-- and-,and like and,"And I have to like, er:: using English as the medium of communication when-- when like I have some internation-- international students in-- in a study group and like-- and-- and at this-- this.",And I have to like er using English as the medium of communication when when like I have some internation international students in in a study group and like and and at this this
ke-- and-- and ,ke and and,"And I have to like, er:: using English as the medium of communication when-- when like I have some internation-- international students in-- in a study group and like-- and-- and at this-- this.",And I have to like er using English as the medium of communication when when like I have some internation international students in in a study group and like and and at this this
d at this-- this,d at this this,"And I have to like, er:: using English as the medium of communication when-- when like I have some internation-- international students in-- in a study group and like-- and-- and at this-- this.",And I have to like er using English as the medium of communication when when like I have some internation international students in in a study group and like and and at this this
d my some-- some,d my some some,"Uh I guess... uh because when I speak in other language, my tone and my some-- some of my body movements will change?",Uh I guess uh because when I speak in other language my tone and my some some of my body movements will change
 ..  I-- I've,I I've,"Uh:: ..  I-- I've, uh, actually, I've learned.. something from this theory, and I-- I have-- I have-- I have done some research on this.",Uh I I've uh actually I've learned something from this theory and I I have I have I have done some research on this
 and I-- I ha,and I I ha,"Uh:: ..  I-- I've, uh, actually, I've learned.. something from this theory, and I-- I have-- I have-- I have done some research on this.",Uh I I've uh actually I've learned something from this theory and I I have I have I have done some research on this
-- I have-- I ha,I have I ha,"Uh:: ..  I-- I've, uh, actually, I've learned.. something from this theory, and I-- I have-- I have-- I have done some research on this.",Uh I I've uh actually I've learned something from this theory and I I have I have I have done some research on this
-- I have-- I ha,I have I ha,"Uh:: ..  I-- I've, uh, actually, I've learned.. something from this theory, and I-- I have-- I have-- I have done some research on this.",Uh I I've uh actually I've learned something from this theory and I I have I have I have done some research on this
ke I have- I ch,ke I have I ch,"So yeah, it's like I have- I change my location sometimes I feel like.",So yeah it's like I have I change my location sometimes I feel like
ould do- So t,ould do So t,"The family would do- So they they will they will like burn the incense. They would pray, pray to the God and they visit the temple with their family on some festive-",The family would do So they they will they will like burn the incense They would pray pray to the God and they visit the temple with their family on some festive
y on some festive-,y on some festive,"The family would do- So they they will they will like burn the incense. They would pray, pray to the God and they visit the temple with their family on some festive-",The family would do So they they will they will like burn the incense They would pray pray to the God and they visit the temple with their family on some festive
I think-- I think,I think I think,"I think-- I think it's okay bec-- and yeah, it's a-- it's a-- it's a phen-- it's a normal phenomenon in Hong Kong.",I think I think it's okay bec and yeah it's a it's a it's a phen it's a normal phenomenon in Hong Kong
okay bec-- and ,okay bec and,"I think-- I think it's okay bec-- and yeah, it's a-- it's a-- it's a phen-- it's a normal phenomenon in Hong Kong.",I think I think it's okay bec and yeah it's a it's a it's a phen it's a normal phenomenon in Hong Kong
it's a-- it's,it's a it's,"I think-- I think it's okay bec-- and yeah, it's a-- it's a-- it's a phen-- it's a normal phenomenon in Hong Kong.",I think I think it's okay bec and yeah it's a it's a it's a phen it's a normal phenomenon in Hong Kong
it's a-- it's,it's a it's,"I think-- I think it's okay bec-- and yeah, it's a-- it's a-- it's a phen-- it's a normal phenomenon in Hong Kong.",I think I think it's okay bec and yeah it's a it's a it's a phen it's a normal phenomenon in Hong Kong
's a phen-- it's,s a phen it's,"I think-- I think it's okay bec-- and yeah, it's a-- it's a-- it's a phen-- it's a normal phenomenon in Hong Kong.",I think I think it's okay bec and yeah it's a it's a it's a phen it's a normal phenomenon in Hong Kong
dary school-- in s,dary school in s,"That means in secondary secondary school-- in secondary school, er:: until I was sixteen years? , sixteen years old?",That means in secondary secondary school in secondary school er until I was sixteen years sixteen years old
just are-- they,just are they,They just are-- they just do the traditional practices.,They just are they just do the traditional practices
t of year- of t,t of year of t,"Err. I can't tell you the like, the the exact amount of year- of time, but it it's just I, I do this, like, every year?",Err I can't tell you the like the the exact amount of year of time but it it's just I I do this like every year
 and mixing-- mixi,and mixing mixi,"Uh, I guess so, because it is a characteristics of Hong Kong, Cantonese and mixing-- mixing the Chinese characters and English to vocabulary I guess is very, characteristic.",Uh I guess so because it is a characteristics of Hong Kong Cantonese and mixing mixing the Chinese characters and English to vocabulary I guess is very characteristic
the-- the birth,the the birth,the-- the birthday of Buddhist?,the the birthday of Buddhist
"ide, they-- it's",ide they it's,"Oh it's complicated because my grandparents in my father's side, they-- it's like, because in the war time in nineteen-thirteen or nineteen-fourteen, in Hong Kong, they actually moved-- they actually uh, lived in Hong Kong but escaped to China, and they just, er:: and they just moved like this because of the war.",Oh it's complicated because my grandparents in my father's side they it's like because in the war time in nineteen thirteen or nineteen fourteen in Hong Kong they actually moved they actually uh lived in Hong Kong but escaped to China and they just er and they just moved like this because of the war
e in nineteen-thirteen or n,e in nineteen thirteen or n,"Oh it's complicated because my grandparents in my father's side, they-- it's like, because in the war time in nineteen-thirteen or nineteen-fourteen, in Hong Kong, they actually moved-- they actually uh, lived in Hong Kong but escaped to China, and they just, er:: and they just moved like this because of the war.",Oh it's complicated because my grandparents in my father's side they it's like because in the war time in nineteen thirteen or nineteen fourteen in Hong Kong they actually moved they actually uh lived in Hong Kong but escaped to China and they just er and they just moved like this because of the war
"n or nineteen-fourteen, in H",n or nineteen fourteen in H,"Oh it's complicated because my grandparents in my father's side, they-- it's like, because in the war time in nineteen-thirteen or nineteen-fourteen, in Hong Kong, they actually moved-- they actually uh, lived in Hong Kong but escaped to China, and they just, er:: and they just moved like this because of the war.",Oh it's complicated because my grandparents in my father's side they it's like because in the war time in nineteen thirteen or nineteen fourteen in Hong Kong they actually moved they actually uh lived in Hong Kong but escaped to China and they just er and they just moved like this because of the war
ally moved-- they,ally moved they,"Oh it's complicated because my grandparents in my father's side, they-- it's like, because in the war time in nineteen-thirteen or nineteen-fourteen, in Hong Kong, they actually moved-- they actually uh, lived in Hong Kong but escaped to China, and they just, er:: and they just moved like this because of the war.",Oh it's complicated because my grandparents in my father's side they it's like because in the war time in nineteen thirteen or nineteen fourteen in Hong Kong they actually moved they actually uh lived in Hong Kong but escaped to China and they just er and they just moved like this because of the war
"eah, I-- I-- ",eah I I,"Yeah, I-- I-- I agree with this theory, but I-- I can't explain how.",Yeah I I I agree with this theory but I I can't explain how
 I-- I-- I ag,I I I ag,"Yeah, I-- I-- I agree with this theory, but I-- I can't explain how.",Yeah I I I agree with this theory but I I can't explain how
 but I-- I ca,but I I ca,"Yeah, I-- I-- I agree with this theory, but I-- I can't explain how.",Yeah I I I agree with this theory but I I can't explain how
uh:: they-- beca,uh they beca,"Oh, yes, Because, um, my parents, they, uh:: they-- because-- they-- they own their company, they-- they're self-employed.",Oh yes Because um my parents they uh they because they they own their company they they're self employed
ey-- because-- they,ey because they,"Oh, yes, Because, um, my parents, they, uh:: they-- because-- they-- they own their company, they-- they're self-employed.",Oh yes Because um my parents they uh they because they they own their company they they're self employed
se-- they-- they,se they they,"Oh, yes, Because, um, my parents, they, uh:: they-- because-- they-- they own their company, they-- they're self-employed.",Oh yes Because um my parents they uh they because they they own their company they they're self employed
"any, they-- they",any they they,"Oh, yes, Because, um, my parents, they, uh:: they-- because-- they-- they own their company, they-- they're self-employed.",Oh yes Because um my parents they uh they because they they own their company they they're self employed
- they're self-employed.,they're self employed,"Oh, yes, Because, um, my parents, they, uh:: they-- because-- they-- they own their company, they-- they're self-employed.",Oh yes Because um my parents they uh they because they they own their company they they're self employed
"s, I believe-- I be",s I believe I be,"Yes, yes, I believe-- I believe in this theory.",Yes yes I believe I believe in this theory
 our summer- thro,our summer thro,And through out our summer- through out the summer break.,And through out our summer through out the summer break
I-- I think i,I I think i,"I-- I think it's ike a cultural thing instead of, we don't call it as religious, but we say it's cultural thing.",I I think it's ike a cultural thing instead of we don't call it as religious but we say it's cultural thing
"ess, for-- for ",ess for for,"uh and:: I have lived in Taiwan, I guess, for-- for a few months and sometime, like during summer vaca-- as uh, the summer holiday.",uh and I have lived in Taiwan I guess for for a few months and sometime like during summer vaca as uh the summer holiday
mmer vaca-- as u,mmer vaca as u,"uh and:: I have lived in Taiwan, I guess, for-- for a few months and sometime, like during summer vaca-- as uh, the summer holiday.",uh and I have lived in Taiwan I guess for for a few months and sometime like during summer vaca as uh the summer holiday
er:: like-- like,er like like,Festive they er:: like-- like on ,Festive they er like like on
 who doesn't-- can',who doesn't can,"Or maybe. I guess. Uh, there are somebody who doesn't-- can't understand Cantonese and we are in a group, so we have to let them get involved in our discussion.",Or maybe I guess Uh there are somebody who doesn't can't understand Cantonese and we are in a group so we have to let them get involved in our discussion
ke I have-- I ch,ke I have I ch,"So:: yeah, it's like I have-- I change my location sometimes I feel like.",So yeah it's like I have I change my location sometimes I feel like
"ere, I-- I-- ",ere I I,"Uh, I've born here, I-- I-- I-- I educate-- educated here, and my friend are also Hong Kongers, as local as me, and... uh:: yes, and my mother tongue is Cantonese, so it's-- it's very normal to call myself, or identify myself as a Hong Konger, I think.",Uh I've born here I I I I educate educated here and my friend are also Hong Kongers as local as me and uh yes and my mother tongue is Cantonese so it's it's very normal to call myself or identify myself as a Hong Konger I think
 I-- I-- I-- ,I I I,"Uh, I've born here, I-- I-- I-- I educate-- educated here, and my friend are also Hong Kongers, as local as me, and... uh:: yes, and my mother tongue is Cantonese, so it's-- it's very normal to call myself, or identify myself as a Hong Konger, I think.",Uh I've born here I I I I educate educated here and my friend are also Hong Kongers as local as me and uh yes and my mother tongue is Cantonese so it's it's very normal to call myself or identify myself as a Hong Konger I think
 I-- I-- I ed,I I I ed,"Uh, I've born here, I-- I-- I-- I educate-- educated here, and my friend are also Hong Kongers, as local as me, and... uh:: yes, and my mother tongue is Cantonese, so it's-- it's very normal to call myself, or identify myself as a Hong Konger, I think.",Uh I've born here I I I I educate educated here and my friend are also Hong Kongers as local as me and uh yes and my mother tongue is Cantonese so it's it's very normal to call myself or identify myself as a Hong Konger I think
-- I educate-- educ,I educate educ,"Uh, I've born here, I-- I-- I-- I educate-- educated here, and my friend are also Hong Kongers, as local as me, and... uh:: yes, and my mother tongue is Cantonese, so it's-- it's very normal to call myself, or identify myself as a Hong Konger, I think.",Uh I've born here I I I I educate educated here and my friend are also Hong Kongers as local as me and uh yes and my mother tongue is Cantonese so it's it's very normal to call myself or identify myself as a Hong Konger I think
", so it's-- it's",so it's it's,"Uh, I've born here, I-- I-- I-- I educate-- educated here, and my friend are also Hong Kongers, as local as me, and... uh:: yes, and my mother tongue is Cantonese, so it's-- it's very normal to call myself, or identify myself as a Hong Konger, I think.",Uh I've born here I I I I educate educated here and my friend are also Hong Kongers as local as me and uh yes and my mother tongue is Cantonese so it's it's very normal to call myself or identify myself as a Hong Konger I think
"Uh, I-- I-- I",Uh I I I,"Uh, I-- I-- I just traveled abroad, I living in- lived in mainland China or in Taiwan.",Uh I I I just traveled abroad I living in lived in mainland China or in Taiwan
 I-- I-- I ju,I I I ju,"Uh, I-- I-- I just traveled abroad, I living in- lived in mainland China or in Taiwan.",Uh I I I just traveled abroad I living in lived in mainland China or in Taiwan
ving in- live,ving in live,"Uh, I-- I-- I just traveled abroad, I living in- lived in mainland China or in Taiwan.",Uh I I I just traveled abroad I living in lived in mainland China or in Taiwan
exact-- ,exact,exact-- ,exact
 but it-- it's,but it it's,"Mm no, um primary and secondary school, Um, no. Um, primary and secondary school, the local school, but like in university, uh, it's local university, but it-- it's kind of like you you meet international students, so:: yeah, it's local university.",Mm no um primary and secondary school Um no Um primary and secondary school the local school but like in university uh it's local university but it it's kind of like you you meet international students so yeah it's local university
Hong Kong-- Hong,Hong Kong Hong,"Um, if you ask me the question, I would say I'm a Hong Kong-- Hong Kong, Hong Kongese or Hong Konger.",Um if you ask me the question I would say I'm a Hong Kong Hong Kong Hong Kongese or Hong Konger
 our summer-- thro,our summer thro,And through out our summer-- through out the summer break.,And through out our summer through out the summer break
er:: I-- I-- ,er I I,"Because it's like, er:: I-- I-- I went when I, when I was younger, uh, when I need to go to school, I stayed in Hong Kong and like, summer holiday is, It's, it's it's around like three to four months a year, and it's usually like one err-- like I stay in mainland China, like for two months a year, and maybe I will stay in Taiwan like for er half a month? , or a month?",Because it's like er I I I went when I when I was younger uh when I need to go to school I stayed in Hong Kong and like summer holiday is It's it's it's around like three to four months a year and it's usually like one err like I stay in mainland China like for two months a year and maybe I will stay in Taiwan like for er half a month or a month
 I-- I-- I we,I I I we,"Because it's like, er:: I-- I-- I went when I, when I was younger, uh, when I need to go to school, I stayed in Hong Kong and like, summer holiday is, It's, it's it's around like three to four months a year, and it's usually like one err-- like I stay in mainland China, like for two months a year, and maybe I will stay in Taiwan like for er half a month? , or a month?",Because it's like er I I I went when I when I was younger uh when I need to go to school I stayed in Hong Kong and like summer holiday is It's it's it's around like three to four months a year and it's usually like one err like I stay in mainland China like for two months a year and maybe I will stay in Taiwan like for er half a month or a month
 one err-- like,one err like,"Because it's like, er:: I-- I-- I went when I, when I was younger, uh, when I need to go to school, I stayed in Hong Kong and like, summer holiday is, It's, it's it's around like three to four months a year, and it's usually like one err-- like I stay in mainland China, like for two months a year, and maybe I will stay in Taiwan like for er half a month? , or a month?",Because it's like er I I I went when I when I was younger uh when I need to go to school I stayed in Hong Kong and like summer holiday is It's it's it's around like three to four months a year and it's usually like one err like I stay in mainland China like for two months a year and maybe I will stay in Taiwan like for er half a month or a month
depend-- ,depend,depend-- ,depend
ally er::-- and-,ally er and,"And these actually er::-- and-- and when I speak in another language, I guess I have-- I have uh shown my, uh, my another personality in front of the others.",And these actually er and and when I speak in another language I guess I have I have uh shown my uh my another personality in front of the others
::-- and-- and ,and and,"And these actually er::-- and-- and when I speak in another language, I guess I have-- I have uh shown my, uh, my another personality in front of the others.",And these actually er and and when I speak in another language I guess I have I have uh shown my uh my another personality in front of the others
ss I have-- I ha,ss I have I ha,"And these actually er::-- and-- and when I speak in another language, I guess I have-- I have uh shown my, uh, my another personality in front of the others.",And these actually er and and when I speak in another language I guess I have I have uh shown my uh my another personality in front of the others
Espe-- especiall,Espe especiall,"Espe-- especially they have to they have to tell me what they feel, their medical conditions.",Espe especially they have to they have to tell me what they feel their medical conditions
":: , I-- I-- ",I I,"Mm... uh:: , I-- I-- I remember like two or three of my friends I knew, they're like, we're-- we're in the same-- we study in the same university, but in, like, different discipline.",Mm uh I I I remember like two or three of my friends I knew they're like we're we're in the same we study in the same university but in like different discipline
 I-- I-- I re,I I I re,"Mm... uh:: , I-- I-- I remember like two or three of my friends I knew, they're like, we're-- we're in the same-- we study in the same university, but in, like, different discipline.",Mm uh I I I remember like two or three of my friends I knew they're like we're we're in the same we study in the same university but in like different discipline
"ike, we're-- we'r",ike we're we'r,"Mm... uh:: , I-- I-- I remember like two or three of my friends I knew, they're like, we're-- we're in the same-- we study in the same university, but in, like, different discipline.",Mm uh I I I remember like two or three of my friends I knew they're like we're we're in the same we study in the same university but in like different discipline
 the same-- we s,the same we s,"Mm... uh:: , I-- I-- I remember like two or three of my friends I knew, they're like, we're-- we're in the same-- we study in the same university, but in, like, different discipline.",Mm uh I I I remember like two or three of my friends I knew they're like we're we're in the same we study in the same university but in like different discipline
 can you-- can ,can you can,Um can you-- can repeat again?,Um can you can repeat again
just are- they,just are they,They just are- they just do the traditional practices.,They just are they just do the traditional practices
ause everyone-- ever,ause everyone ever,"Because everyone-- everyone who born is like er:: a local Chinese in Hong Kong,",Because everyone everyone who born is like er a local Chinese in Hong Kong
lain why-- why-,lain why why,I can't explain why-- why-- why this happened.,I can't explain why why why this happened
hy-- why-- why ,hy why why,I can't explain why-- why-- why this happened.,I can't explain why why why this happened
Uh when-- while ,Uh when while,"Uh when-- while but-- while using English, I guess is like a first-- first like I use English when I-- when I er::-- when I study in university because most-- because more than half of the class-- the class are conducted in English?",Uh when while but while using English I guess is like a first first like I use English when I when I er when I study in university because most because more than half of the class the class are conducted in English
hile but-- whil,hile but whil,"Uh when-- while but-- while using English, I guess is like a first-- first like I use English when I-- when I er::-- when I study in university because most-- because more than half of the class-- the class are conducted in English?",Uh when while but while using English I guess is like a first first like I use English when I when I er when I study in university because most because more than half of the class the class are conducted in English
ke a first-- firs,ke a first firs,"Uh when-- while but-- while using English, I guess is like a first-- first like I use English when I-- when I er::-- when I study in university because most-- because more than half of the class-- the class are conducted in English?",Uh when while but while using English I guess is like a first first like I use English when I when I er when I study in university because most because more than half of the class the class are conducted in English
when I-- when,when I when,"Uh when-- while but-- while using English, I guess is like a first-- first like I use English when I-- when I er::-- when I study in university because most-- because more than half of the class-- the class are conducted in English?",Uh when while but while using English I guess is like a first first like I use English when I when I er when I study in university because most because more than half of the class the class are conducted in English
en I er::-- when,en I er when,"Uh when-- while but-- while using English, I guess is like a first-- first like I use English when I-- when I er::-- when I study in university because most-- because more than half of the class-- the class are conducted in English?",Uh when while but while using English I guess is like a first first like I use English when I when I er when I study in university because most because more than half of the class the class are conducted in English
ause most-- beca,ause most beca,"Uh when-- while but-- while using English, I guess is like a first-- first like I use English when I-- when I er::-- when I study in university because most-- because more than half of the class-- the class are conducted in English?",Uh when while but while using English I guess is like a first first like I use English when I when I er when I study in university because most because more than half of the class the class are conducted in English
 the class-- the ,the class the,"Uh when-- while but-- while using English, I guess is like a first-- first like I use English when I-- when I er::-- when I study in university because most-- because more than half of the class-- the class are conducted in English?",Uh when while but while using English I guess is like a first first like I use English when I when I er when I study in university because most because more than half of the class the class are conducted in English
"Umm, because-- beca",Umm because beca,"Umm, because-- because you see, because I have to prepare for like, examination, so my parents just let me stay in Hong Kong.",Umm because because you see because I have to prepare for like examination so my parents just let me stay in Hong Kong
I've been-- I've,I've been I've,"Uh, I've been-- I've been to Netherlands, uh, as an exchange student,  so I've been there for like more than two months, in some summer exchange program.",Uh I've been I've been to Netherlands uh as an exchange student so I've been there for like more than two months in some summer exchange program
Because-- because--,Because because,"Because-- because-- because my-- because, like, my articulation, is changed.",Because because because my because like my articulation is changed
se-- because-- beca,se because beca,"Because-- because-- because my-- because, like, my articulation, is changed.",Because because because my because like my articulation is changed
ause my-- beca,ause my beca,"Because-- because-- because my-- because, like, my articulation, is changed.",Because because because my because like my articulation is changed
 for those-- for ,for those for,So I don't have any special comments for those-- for those people.,So I don't have any special comments for those for those people
Ger-- ...,Ger,Ger-- ...,Ger
y do the-- they,y do the they," They do the-- they do the worship-- the-- the worship thing, but they won't claim them as a Buddhist, ",They do the they do the worship the the worship thing but they won't claim them as a Buddhist
 the worship-- the-,the worship the," They do the-- they do the worship-- the-- the worship thing, but they won't claim them as a Buddhist, ",They do the they do the worship the the worship thing but they won't claim them as a Buddhist
ip-- the-- the ,ip the the," They do the-- they do the worship-- the-- the worship thing, but they won't claim them as a Buddhist, ",They do the they do the worship the the worship thing but they won't claim them as a Buddhist
ould do-- so t,ould do so t,"The family would do-- so they-- they will they will like burn the incense, they would pray-- pray to the God and they visit the temple with their family on some festive--",The family would do so they they will they will like burn the incense they would pray pray to the God and they visit the temple with their family on some festive
- so they-- they,so they they,"The family would do-- so they-- they will they will like burn the incense, they would pray-- pray to the God and they visit the temple with their family on some festive--",The family would do so they they will they will like burn the incense they would pray pray to the God and they visit the temple with their family on some festive
ould pray-- pray,ould pray pray,"The family would do-- so they-- they will they will like burn the incense, they would pray-- pray to the God and they visit the temple with their family on some festive--",The family would do so they they will they will like burn the incense they would pray pray to the God and they visit the temple with their family on some festive
y on some festive--,y on some festive,"The family would do-- so they-- they will they will like burn the incense, they would pray-- pray to the God and they visit the temple with their family on some festive--",The family would do so they they will they will like burn the incense they would pray pray to the God and they visit the temple with their family on some festive
t of year-- of t,t of year of t,"Er:: I can't tell you the like, the the exact amount of year-- of time, but it-- it's just I-- I do this, like, every year?",Er I can't tell you the like the the exact amount of year of time but it it's just I I do this like every year
 but it-- it's,but it it's,"Er:: I can't tell you the like, the the exact amount of year-- of time, but it-- it's just I-- I do this, like, every year?",Er I can't tell you the like the the exact amount of year of time but it it's just I I do this like every year
just I-- I do,just I I do,"Er:: I can't tell you the like, the the exact amount of year-- of time, but it-- it's just I-- I do this, like, every year?",Er I can't tell you the like the the exact amount of year of time but it it's just I I do this like every year
And-- and now I,And and now I,"And-- and now I use English in my workplace, uh to communicate with people from-- different people coming from different backgrounds because they-- they may-- they-- they may not use English as their mother tongue?",And and now I use English in my workplace uh to communicate with people from different people coming from different backgrounds because they they may they they may not use English as their mother tongue
ople from-- diff,ople from diff,"And-- and now I use English in my workplace, uh to communicate with people from-- different people coming from different backgrounds because they-- they may-- they-- they may not use English as their mother tongue?",And and now I use English in my workplace uh to communicate with people from different people coming from different backgrounds because they they may they they may not use English as their mother tongue
ause they-- they,ause they they,"And-- and now I use English in my workplace, uh to communicate with people from-- different people coming from different backgrounds because they-- they may-- they-- they may not use English as their mother tongue?",And and now I use English in my workplace uh to communicate with people from different people coming from different backgrounds because they they may they they may not use English as their mother tongue
they may-- they,they may they,"And-- and now I use English in my workplace, uh to communicate with people from-- different people coming from different backgrounds because they-- they may-- they-- they may not use English as their mother tongue?",And and now I use English in my workplace uh to communicate with people from different people coming from different backgrounds because they they may they they may not use English as their mother tongue
ay-- they-- they,ay they they,"And-- and now I use English in my workplace, uh to communicate with people from-- different people coming from different backgrounds because they-- they may-- they-- they may not use English as their mother tongue?",And and now I use English in my workplace uh to communicate with people from different people coming from different backgrounds because they they may they they may not use English as their mother tongue
ices like-- like,ices like like,"I believe in Buddhism, but I don't think I engage in, the services like-- like other people, who who believe in like, uh Catholicism or-- or-- or religions like that they have to go to church, but I-- I don't have this practices.",I believe in Buddhism but I don't think I engage in the services like like other people who who believe in like uh Catholicism or or or religions like that they have to go to church but I I don't have this practices
cism or-- or--,cism or or,"I believe in Buddhism, but I don't think I engage in, the services like-- like other people, who who believe in like, uh Catholicism or-- or-- or religions like that they have to go to church, but I-- I don't have this practices.",I believe in Buddhism but I don't think I engage in the services like like other people who who believe in like uh Catholicism or or or religions like that they have to go to church but I I don't have this practices
or-- or-- or r,or or or r,"I believe in Buddhism, but I don't think I engage in, the services like-- like other people, who who believe in like, uh Catholicism or-- or-- or religions like that they have to go to church, but I-- I don't have this practices.",I believe in Buddhism but I don't think I engage in the services like like other people who who believe in like uh Catholicism or or or religions like that they have to go to church but I I don't have this practices
 but I-- I do,but I I do,"I believe in Buddhism, but I don't think I engage in, the services like-- like other people, who who believe in like, uh Catholicism or-- or-- or religions like that they have to go to church, but I-- I don't have this practices.",I believe in Buddhism but I don't think I engage in the services like like other people who who believe in like uh Catholicism or or or religions like that they have to go to church but I I don't have this practices
ound and-- and-,ound and and,"And it's common to see people doing this in Hong Kong, because of their background and-- and-- and also their working style.",And it's common to see people doing this in Hong Kong because of their background and and and also their working style
nd-- and-- and ,nd and and,"And it's common to see people doing this in Hong Kong, because of their background and-- and-- and also their working style.",And it's common to see people doing this in Hong Kong because of their background and and and also their working style
non-local,non local,non-local,non local
k it will-- he w,k it will he w,"But if they are, planing to, eh:: living in Hong Kong for the rest of their life, for example, or for a long period of time, I think it will-- he will be very inconvenient.",But if they are planing to eh living in Hong Kong for the rest of their life for example or for a long period of time I think it will he will be very inconvenient
also to-- to::,also to to, and also to-- to:: use English in the group activities.,and also to to use English in the group activities
And::-- and most ,And and most,"And::-- and most of the locals are using, Cantonese to, (sit)-- to-- to-- to work.",And and most of the locals are using Cantonese to sit to to to work
" to, (sit)-- to--",to sit to,"And::-- and most of the locals are using, Cantonese to, (sit)-- to-- to-- to work.",And and most of the locals are using Cantonese to sit to to to work
t)-- to-- to--,t to to,"And::-- and most of the locals are using, Cantonese to, (sit)-- to-- to-- to work.",And and most of the locals are using Cantonese to sit to to to work
to-- to-- to w,to to to w,"And::-- and most of the locals are using, Cantonese to, (sit)-- to-- to-- to work.",And and most of the locals are using Cantonese to sit to to to work
" non-Chinese, uh resta",non Chinese uh resta," non-Chinese, uh restaurants, for example, the Jollibee or something like that, or some other restaurant like that because they don't understand Cantonese so I have to use English to talk to them.",non Chinese uh restaurants for example the Jollibee or something like that or some other restaurant like that because they don't understand Cantonese so I have to use English to talk to them
echniques or--,echniques or,Techniques? Or:: is it techniques or--,Techniques Or is it techniques or
